Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
TTLC.CI,Total Cote d'Ivoire SA,45.94396,,26.08838,,134651000000.0,0.10917,85312968000.0,53.27745,40916000000.0,134651000000.0
OXY.N,Occidental Petroleum Corp,78.0306,36.02,243.22034,38.56667,107190000000.0,1.03868,36813612938.7,112.72494,34232000000.0,107190000000.0
GAZP.MM,Gazprom PAO,68.87146,,21.97503,,21882348000000.0,0.22974,6069888707560.0,28.13017,14104833000000.0,21882348000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,52.33474,,17.16292,,5132287000000.0,0.20286,2409108982560.0,36.89915,2163593000000.0,5132287000000.0
MGMC.OM,Muscat Gases Company SAOG,32.61401,,9.40648,,10446572.0,-0.43324,4680000.0,17.71641,7189211.0,10446572.0
IMO.TO,Imperial Oil Ltd,81.69104,24.8,-7.52688,25.8,42187000000.0,0.14364,25863761189.4,21.44093,24276000000.0,42187000000.0
SU.TO,Suncor Energy Inc,83.93582,14.68,-14.44927,28.05,89435000000.0,0.38081,65417824454.08,42.74297,42042000000.0,89435000000.0
ENI.MI,Eni SpA,54.71565,97.30247,97.30247,61.12,123440000000.0,0.36351,50318930079.18,62.97704,47839000000.0,123440000000.0
600028.SS,China Petroleum & Chemical Corp,56.67346,23.19378,19.90767,19.90333,1760286000000.0,0.2478,595236699468.077,39.73569,739965000000.0,1760286000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,70.8648,,218.35025,,29525426153.03,4.42354,4933805087.92627,497.70849,3792967468.91,29525426153.03
PETR4.SA,Petroleo Brasileiro SA Petrobras,69.32412,34.71487,34.71487,55.25,926011000000.0,1.06261,407228183885.84,117.39136,295541000000.0,926011000000.0
OMVV.VI,OMV AG,40.81486,37.82218,37.82218,38.32,40375000000.0,0.27735,16389818168.16,45.21141,11025000000.0,40375000000.0
REP.MC,Repsol SA,39.97755,,,35.0125,57895000000.0,0.44694,21814991220.54,68.28514,24928000000.0,57895000000.0
LKOH.MM,NK Lukoil PAO,67.69755,,19.04988,,5947050000000.0,-0.00315,4410835000000.0,13.92322,3965364000000.0,5947050000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,53.8646,39.37456,39.58448,34.7,5100176140000.0,0.51173,859233069769.8,57.82807,2054864350000.0,5100176140000.0
YPFD.BA,YPF SA,71.84961,,,,1573289000000.0,0.93791,337103314627.6,107.37841,542549000000.0,1573289000000.0
SNGS.MM,Surgutneftegaz PAO,30.58172,,20.11359,,5267896000000.0,-0.21743,2093648836176.72,5.63072,4449064000000.0,5267896000000.0
SIBN.MM,Gazprom Neft' PAO,66.61671,,16.88465,,3825483000000.0,0.26239,1992057043325.85,36.28339,2057206000000.0,3825483000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,44.15787,,25.40611,,28885000000.0,0.03859,25651039012.5,130.94238,11233000000.0,28885000000.0
600256.SS,Guanghui Energy Co Ltd,75.47013,18.09474,18.10641,29.0,48741535871.33,1.33031,22488057150.7,145.17498,16015456476.82,48741535871.33
EQNR.OL,Equinor ASA,59.25057,80.07964,80.07964,68.1,118063000000.0,0.41257,66485310783.4449,70.53621,41139000000.0,118063000000.0
ROSNP.BX,OMV Petrom SA,58.8369,,15.01403,,47495230000.0,-0.19308,25319916425.745,3.0777,33500860000.0,47495230000.0
PTT.BK,PTT PCL,55.59023,21.2721,21.2721,22.63333,2486964962939.0,0.24842,1256771835000.0,50.64939,878604109457.0,2486964962939.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,19.42851,,23.34209,,216567516.57,1.72658,39554695.8,189.33154,53045019.75,216567516.57
NVTK.MM,Novatek PAO,27.66194,,11.92824,,2012867000000.0,0.01496,3831818172000.0,9.75127,1647509000000.0,2012867000000.0
PEA.TO,Pieridae Energy Ltd,83.2509,,,,602474000.0,1.90687,72628511.03,199.85812,104477000.0,602474000.0
ENER.KW,Energy House Holding Company KSCP,8.4312,,,,32075688.0,-0.55935,17100000.0,1.5817,24293160.0,32075688.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,67.58807,36.49838,36.49838,,59185000000.0,0.11205,25008546701.096,17.39668,38813000000.0,59185000000.0
SHEL.L,Shell PLC,58.94825,39.77,35.52286,31.2,404336000000.0,0.41373,232475351386.199,50.62611,186476000000.0,404336000000.0
ECHOE.L,Echo Energy PLC,3.39137,,,,32470931.0,16.39279,21704461.0196234,1758.13544,1175591.0,32470931.0
DANA.AD,Dana Gas PJSC,37.57027,,0.0,,3202000000.0,-0.00836,1826552783.89975,17.32523,2630000000.0,3202000000.0
ROSN.MM,NK Rosneft' PAO,68.51737,,19.25777,,12950000000000.0,0.5462,4766000564304.9,68.76941,4517000000000.0,12950000000000.0
GALP.LS,Galp Energia SGPS SA,49.65868,58.01,62.54887,51.44,13770000000.0,0.46226,11490449702.9,72.79477,4420000000.0,13770000000.0
GSP.MI,Gas Plus SpA,21.37673,,,,544522000.0,0.30812,108681280.4,37.27323,212598000.0,544522000.0
INAI.ZA,INA dd,59.95263,,25.79666,,21532000000.0,0.25838,31200000000.0,31.24108,11204000000.0,21532000000.0
601857.SS,PetroChina Co Ltd,72.18144,35.076,35.07601,35.95,2733190000000.0,0.36048,1017731710995.78,43.70903,1230428000000.0,2733190000000.0
ECO.CN,Ecopetrol SA,69.19924,24.31,24.06636,31.4,135448018000000.0,0.48712,136301842897350.0,63.36846,56412330000000.0,135448018000000.0
CVE.TO,Cenovus Energy Inc,83.85182,39.76,-57.05082,48.35,35713000000.0,0.43899,16218990664.8,44.86745,19201000000.0,35713000000.0
NIIS.BEL,NIS ad Novi Sad,73.68474,,21.45206,,415193944000.0,0.28953,122132239600.0,35.65241,254955703000.0,415193944000.0
IOG.L,Iog PLC,20.46872,,0.0,,146526000.0,1.82463,75027069.53125,222.40801,40548000.0,146526000.0
2222.SE,Saudi Arabian Oil Co,65.72498,50.40158,50.40158,49.9,1494126000000.0,-0.04575,7050000000000.0,16.78256,1035065000000.0,1494126000000.0
RNFT.MM,NK Russneft' PAO,54.77102,,25.07029,,280265000000.0,0.83463,161824824000.0,104.85836,62118000000.0,280265000000.0
UNTC.PK,Unit Corp,93.69906,,,,2090052000.0,0.73721,38566424.1708,73.77503,853878000.0,2090052000.0
XOM.N,Exxon Mobil Corp,71.37604,30.79,31.73521,35.78,346196000000.0,0.17506,288703310922.3,19.03812,191794000000.0,346196000000.0
TTEF.PA,TotalEnergies SE,44.13581,36.06775,36.06775,41.9,256762000000.0,0.18525,139744679597.303,43.64851,115640000000.0,256762000000.0
BP.L,BP PLC,47.93498,42.73,43.44914,38.97143,282176000000.0,0.43781,128218999633.855,64.79596,99444000000.0,282176000000.0
CVX.N,Chevron Corp,66.65288,27.77643,27.90279,30.9,253863000000.0,0.15493,207873143603.51,22.13991,154554000000.0,253863000000.0
TTLC.CI,Total Cote d'Ivoire SA,37.83551,,28.27748,,123059000000.0,-0.34313,175033248000.0,16.72891,37755000000.0,123059000000.0
