Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
PETR4.SA,Petroleo Brasileiro SA Petrobras,64.80228,,24.68876,,350418897000.0,0.43953,347084678416.84,61.38692,164316477000.0,350418897000.0
OMVV.VI,OMV AG,62.52482,,39.33735,,21415213000.0,0.31885,9220295812.19365,38.61287,8393415000.0,21797446000.0
REP.MC,Repsol SA,54.92141,,39.48288,,58083000000.0,0.82905,22860668344.675,96.94632,20075000000.0,58878000000.0
LKOH.MM,NK Lukoil PAO,66.0955,,22.00154,,2395144909000.0,0.15917,1442104481954.85,20.08372,1697143201000.0,2405480960000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,53.19115,,35.19485,,1747091310000.0,-0.08082,2349551474205.0,6.44501,1014066410000.0,1747091310000.0
YPFD.BA,YPF SA,70.42796,,37.54867,,39747000000.0,0.26405,63716672482.2,38.52325,17701000000.0,39747000000.0
SNGS.MM,Surgutneftegaz PAO,40.95802,,19.8138,,1315564000000.0,-0.32794,1070952372166.15,0.00169,1241456000000.0,1315564000000.0
SIBN.MM,Gazprom Neft' PAO,47.72666,,20.79183,,906662632000.0,0.28927,775866272925.96,33.82109,489552961000.0,906662632000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,74.05824,,49.1709,,5794545000.0,0.32083,3007770381.075,33.66136,3304667000.0,5794545000.0
600256.SS,Guanghui Energy Co Ltd,34.10655,,24.00274,,9209683000.0,0.41604,21816082773.0,63.58546,3224886000.0,9209683000.0
EQNR.OL,Equinor ASA,60.82713,,84.58359,,97197500604.1357,0.36769,79647421168.6045,52.02531,34231884558.2905,97197500604.1357
ROSNP.BX,OMV Petrom SA,156.33265,,28.74441,,30526626000.0,0.13356,14104382975.415,18.53327,16179530000.0,30526623000.0
PTT.BK,PTT PCL,46.12912,,32.66002,,1102544167167.0,0.49989,697111066950.0,72.64698,429179941373.0,1102544167167.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,26.54114,,24.83737,,140027414.0,1.00982,54328136.4,120.16747,49738409.0,140027414.0
NVTK.MM,Novatek PAO,82.71732,,20.85538,,193639000000.0,0.20362,516475650600.0,28.25465,114301000000.0,193639000000.0
PEA.TO,Pieridae Energy Ltd,13.11762,,,,30994857.0,-0.01729,24282634.195,8.43171,26605625.0,30994857.0
ENER.KW,Energy House Holding Company KSCP,38.27021,,,,112342807.0,-0.21246,175500000.0,27.03104,64615552.0,112342807.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,73.65852,,16.60631,,31074364000.0,0.03846,22361000000.0,9.46178,21424851000.0,31074364000.0
SHEL.L,Shell PLC,45.04708,,39.49572,,292181000000.0,0.18326,185990462684.959,25.36142,136431000000.0,292181000000.0
ECHOE.L,Echo Energy PLC,30.29333,,,,37524543.88323,-0.23968,47905358.5557903,,33323802.89354,37524543.88323
DANA.AD,Dana Gas PJSC,30.67006,,66.66667,,3104528003.92082,-0.10584,1535654967.73491,,2090015519.91723,3104528003.92082
ROSN.MM,NK Rosneft' PAO,72.77064,,26.88679,,2725000000000.0,0.38086,2670528846327.66,47.06271,1491000000000.0,2725000000000.0
GALP.LS,Galp Energia SGPS SA,35.2468,,21.84283,,7488872000.0,0.83694,9315747141.68,94.3729,2273009000.0,7488872000.0
GSP.MI,Gas Plus SpA,19.66339,,42.14051,,409619000.0,0.17876,274622326.3,21.47738,221354000.0,409619000.0
INAI.ZA,INA dd,70.82183,,,,30067000000.0,0.69166,16500000000.0,72.27782,11784000000.0,30067000000.0
601857.SS,PetroChina Co Ltd,74.40486,,23.88904,,1445927000000.0,0.16283,2410886072117.26,26.00486,847782000000.0,1445927000000.0
ECO.CN,Ecopetrol SA,50.28461,,29.15563,,55559517000000.0,0.06347,100574193781180.0,18.35632,32569957000000.0,55559517000000.0
CVE.TO,Cenovus Energy Inc,70.73278,,31.78947,,21616593600.0,0.6756,19908742635.5,69.17211,9655524000.0,21616593600.0
NIIS.BEL,NIS ad Novi Sad,63.14322,,,,144701351000.0,1.36849,,166.78162,32019877000.0,144701351000.0
RNFT.MM,NK Russneft' PAO,17.57205,,24.144,,310272336000.0,1.70791,,181.7979,67031585000.0,310272336000.0
UNTC.PK,Unit Corp,90.36052,,,,2228399000.0,0.01926,2019598682.5,1.99922,1565810000.0,2228399000.0
XOM.N,Exxon Mobil Corp,53.20979,,43.80253,,228052000000.0,-0.19215,397234080000.0,8.01971,112965000000.0,228052000000.0
TTEF.PA,TotalEnergies SE,39.00093,,56.36081,,165373701793.377,0.22833,128922381085.587,47.87387,68481010888.8609,165373701793.377
BP.L,BP PLC,80.24737,,36.8025,,228238000000.0,0.27149,144094077038.54,36.04859,91303000000.0,228238000000.0
CVX.N,Chevron Corp,56.94785,,44.18794,,161165000000.0,-0.00756,150291558448.85,10.21729,86648000000.0,161165000000.0
TTLC.CI,Total Cote d'Ivoire SA,16.5087,,19.68162,,54232000000.0,-0.30883,56665440000.0,3.61913,29427000000.0,54232000000.0
OXY.N,Occidental Petroleum Corp,77.68014,,40.76737,,41537000000.0,0.0355,48584534427.8,10.05306,27300000000.0,41537000000.0
GAZP.MM,Gazprom PAO,56.08543,,,,7168568000000.0,0.2032,2556739393200.0,27.7959,4605115000000.0,7168568000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,48.59391,,10.59396,,2916413000000.0,0.55983,1031597437080.0,74.01738,1112981000000.0,2916413000000.0
MGMC.OM,Muscat Gases Company SAOG,35.73412,,13.54167,,6123000.0,-0.25098,12558000.0,,4861000.0,6123000.0
IMO.TO,Imperial Oil Ltd,66.02876,,26.49735,,17035000000.0,-0.20199,35372361490.0,1.5775,9065000000.0,17035000000.0
SU.TO,Suncor Energy Inc,88.7912,,31.84943,,32528000000.0,0.49756,22184746720.0,54.30008,14523000000.0,32528000000.0
ENI.MI,Eni SpA,50.78724,,50.34805,,116673000000.0,0.32286,67049707584.24,42.95403,44436000000.0,116673000000.0
600028.SS,China Petroleum & Chemical Corp,69.96752,,-12.92168,,763297000000.0,0.70556,560134807318.494,72.77206,329300000000.0,763297000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,12.90241,,,,118722000.0,,541338782.7078,,-22407000.0,118722000.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,63.53386,,34.06292,,292275006000.0,0.34959,223990977891.2,46.33937,140787451000.0,292275006000.0
OMVV.VI,OMV AG,98.08713,,33.78529,,21375983000.0,0.35309,5652582458.70734,42.50665,7762248000.0,23241591000.0
REP.MC,Repsol SA,53.1836,,40.97314,,49064000000.0,0.437,18435038291.3,59.89958,19942000000.0,50538000000.0
LKOH.MM,NK Lukoil PAO,70.09138,,27.31212,,2181347025000.0,0.1385,820887103033.05,19.22956,1536628500000.0,2181347025000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,49.48757,,35.3209,,1619838640000.0,-0.09148,1667678911641.0,7.54805,922235000000.0,1619838640000.0
YPFD.BA,YPF SA,72.95539,,37.20219,,38418000000.0,0.17198,62930046896.0186,23.60723,18973000000.0,38418000000.0
SNGS.MM,Surgutneftegaz PAO,42.63541,,25.0785,,1208180023000.0,-0.34801,638085659638.315,0.02411,1147447016000.0,1208180023000.0
SIBN.MM,Gazprom Neft' PAO,45.68671,,23.76238,,616757625000.0,0.10461,295951923466.38,26.19149,426159525000.0,616757625000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,65.21336,,152.12125,,6489784000.0,0.40214,1262085696.09375,40.67746,3883888000.0,6489784000.0
600256.SS,Guanghui Energy Co Ltd,13.84199,,17.26648,,6023912000.0,0.28034,7898478554.4,34.49571,3066150000.0,6023912000.0
EQNR.OL,Equinor ASA,56.94936,,76.02332,,83392078095.9786,0.21715,51830532171.438,34.8527,30823578535.1245,83392078095.9786
ROSNP.BX,OMV Petrom SA,129.14342,,20.66516,,28917311000.0,-0.04631,10252583608.635,11.43991,15944879000.0,28917311000.0
PTT.BK,PTT PCL,42.32006,,39.4489,,885192780000.0,0.36492,494209909375.0,57.86892,383578551000.0,885192780000.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,27.40799,,21.28038,,139646000.0,1.7934,57152000.0,206.32955,35121000.0,139646000.0
NVTK.MM,Novatek PAO,77.0469,,19.80482,,139907000000.0,0.15816,147139388760.0,27.1906,96069000000.0,139907000000.0
PEA.TO,Pieridae Energy Ltd,10.33916,,,,24024439.0,-0.01772,37231939.29,,21448923.0,24024439.0
ENER.KW,Energy House Holding Company KSCP,,,,,,,187500000.0,,,
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,69.21108,,7.4435,,29745277000.0,-0.02489,18540000000.0,4.40632,20706895000.0,29745277000.0
SHEL.L,Shell PLC,39.67337,,47.9024,,282401000000.0,0.06271,160982066088.749,18.05674,127285000000.0,282401000000.0
ECHOE.L,Echo Energy PLC,0.28562,,1.12528,,38698923.1976,-0.40395,62418673.3580546,,35053127.00563,38698923.1976
DANA.AD,Dana Gas PJSC,27.74588,,53.48837,,2939991287.30124,-0.11439,947505989.980396,0.0,1965258113.70072,2939991287.30124
ROSN.MM,NK Rosneft' PAO,38.06082,,33.47306,,1519906820000.0,1.35058,1175337919905.3,156.55522,487708600000.0,1519906820000.0
GALP.LS,Galp Energia SGPS SA,41.6751,,21.26481,,6623000000.0,0.83858,5537008648.78,89.72061,2193844000.0,6623000000.0
GSP.MI,Gas Plus SpA,33.86643,,57.46387,,440259000.0,0.07836,343109496.8,11.22502,215619000.0,440259000.0
INAI.ZA,INA dd,64.03262,,33.58491,,26613000000.0,0.5454,11499700000.0,59.35034,12027000000.0,26613000000.0
601857.SS,PetroChina Co Ltd,75.67425,,21.8168,,1190738000000.0,0.09532,1772865519415.03,14.96336,791691000000.0,1190738000000.0
ECO.CN,Ecopetrol SA,33.12267,,27.36822,,48702412000000.0,-0.15998,81146922308265.0,0.82179,34619717000000.0,48702412000000.0
CVE.TO,Cenovus Energy Inc,66.39229,,23.44003,,22463889000.0,0.78033,,80.00774,9425442000.0,22463889000.0
NIIS.BEL,NIS ad Novi Sad,62.17107,,,,161193607000.0,0.7603,,85.67709,69633845000.0,161193607000.0
RNFT.MM,NK Russneft' PAO,26.80836,,26.05151,,205766805000.0,1.23132,,128.85185,49292319000.0,205766805000.0
UNTC.PK,Unit Corp,85.27367,,36.33051,,2581866000.0,0.12597,1262749070.56,12.63316,1633099000.0,2581866000.0
XOM.N,Exxon Mobil Corp,49.92895,,41.7801,,242082000000.0,-0.19782,511887083869.35,7.58941,121762000000.0,242082000000.0
TTEF.PA,TotalEnergies SE,36.52161,,50.07377,,165644467138.376,0.2577,198381674339.222,41.63895,65443139543.3657,165644467138.376
BP.L,BP PLC,95.88946,,33.03281,,236076000000.0,0.29036,230967471230.128,32.7991,93690000000.0,236076000000.0
CVX.N,Chevron Corp,52.83427,,41.76427,,148786000000.0,-0.01115,197060874486.93,9.35673,77088000000.0,148786000000.0
TTLC.CI,Total Cote d'Ivoire SA,17.40195,,20.76433,,59637000000.0,-0.20727,39476923200.0,3.4044,31283000000.0,59637000000.0
OXY.N,Occidental Petroleum Corp,71.95706,,40.88366,,36519000000.0,-0.0077,63793632678.54,7.82221,22823000000.0,36519000000.0
GAZP.MM,Gazprom PAO,51.3868,,,,6792556000000.0,0.25909,8117174103152.0,35.02096,3950789000000.0,6792556000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,48.51508,,23.77678,,2432757000000.0,0.55082,2686487238885.0,69.18901,792164000000.0,2432757000000.0
MGMC.OM,Muscat Gases Company SAOG,35.21564,,11.51936,,5472000.0,-0.36973,7969500.0,,4341000.0,5472000.0
IMO.TO,Imperial Oil Ltd,64.84313,,27.19799,,16287000000.0,-0.13404,49547277504.68,1.84274,7923000000.0,16287000000.0
SU.TO,Suncor Energy Inc,85.4584,,15.94815,,24509000000.0,0.33726,49914117754.38,38.50874,11896000000.0,24509000000.0
ENI.MI,Eni SpA,49.97043,,46.03056,,101460000000.0,0.34542,100334239843.8,46.25936,40428000000.0,101460000000.0
600028.SS,China Petroleum & Chemical Corp,64.471,,29.61982,,729863000000.0,0.55355,1823412747170.72,57.86311,308045000000.0,729863000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,9.105,,0.0,,185865000.0,1.46975,2706610041.04133,149.64726,26373000.0,185865000.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,60.52072,,31.71915,,231227800000.0,0.20512,429922974863.2,31.88062,113854127000.0,231227800000.0
OMVV.VI,OMV AG,87.85327,,23.60317,,21249512000.0,0.20071,16769610200.4179,32.22047,8446506000.0,23779559000.0
REP.MC,Repsol SA,50.1993,,41.06798,,47164000000.0,0.47465,29764651227.94,62.25935,18620000000.0,48599000000.0
LKOH.MM,NK Lukoil PAO,63.81808,,26.50019,,1465128424000.0,0.14726,1758199304410.5,16.85331,1012582803500.0,1465128424000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,49.09787,,34.60406,,1307376510000.0,-0.21749,2098982557315.5,1.79235,780866130000.0,1307376510000.0
YPFD.BA,YPF SA,66.7524,,40.29807,,38102000000.0,0.00549,51130663103.0,3.81427,26060000000.0,38102000000.0
SNGS.MM,Surgutneftegaz PAO,43.04258,,29.48329,,1045175310000.0,-0.15644,1173718642346.46,0.02026,972650646000.0,1045175310000.0
SIBN.MM,Gazprom Neft' PAO,41.32699,,24.09307,,408074825500.0,0.25882,725418844767.0,32.79034,256333593500.0,408074825500.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,50.62406,,,,4137078000.0,0.33976,,36.38719,1634009000.0,4137078000.0
600256.SS,Guanghui Energy Co Ltd,27.94666,,18.97327,,4541111000.0,0.28362,16957479177.1,50.83964,2360603000.0,4541111000.0
EQNR.OL,Equinor ASA,57.61955,,69.59288,,88889175115.4617,0.16149,99624958016.4907,28.22407,32619095810.2563,88889175115.4618
ROSNP.BX,OMV Petrom SA,62.75695,,17.28603,,21161034000.0,-0.05709,28152121842.495,,13184118000.0,21362645537.0
PTT.BK,PTT PCL,35.34881,,27.1047,,891524050000.0,0.36675,1059182835000.0,57.04081,361496757000.0,891524050000.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,24.8348,,,,148814000.0,2.15694,97384000.0,231.43859,33936000.0,148814000.0
NVTK.MM,Novatek PAO,78.86511,,26.52517,,103975000000.0,0.03202,561109348800.0,8.06972,81335000000.0,103975000000.0
PEA.TO,Pieridae Energy Ltd,8.51309,,,,26831052.0,0.0,30685664.25,,22194109.0,26831052.0
ENER.KW,Energy House Holding Company KSCP,28.35408,,3.35508,,8676000.0,0.01535,19524477.9984755,29.17286,6057000.0,8676000.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,65.89527,,8.64272,,28401901000.0,-0.06983,26265000000.0,0.65694,21013076000.0,28401901000.0
SHEL.L,Shell PLC,37.67432,,36.8752,,269470000000.0,0.06702,264763749084.598,14.36793,123960000000.0,269470000000.0
DANA.AD,Dana Gas PJSC,22.13417,,60.49822,,2955337690.63181,-0.27888,3643790849.6732,0.01407,1935457516.33987,2955337690.63181
ROSN.MM,NK Rosneft' PAO,34.19791,,32.36181,,1409088600000.0,1.62637,2479515089612.93,176.84711,362890230000.0,1409088600000.0
GALP.LS,Galp Energia SGPS SA,37.14455,,25.57652,,5674415000.0,0.30679,11391101727.84,35.46144,2347972000.0,5674415000.0
GSP.MI,Gas Plus SpA,33.17689,,38.825,,402714000.0,-0.00045,318548976.0,9.86854,218746000.0,402714000.0
INAI.ZA,INA dd,-17.18173,,22.16809,,24916000000.0,0.30807,27860000000.0,36.08444,13634000000.0,24806000000.0
601857.SS,PetroChina Co Ltd,72.84908,,24.42478,,1053548000000.0,-0.02726,5287788366890.32,9.08176,740390000000.0,1053548000000.0
ECO.CN,Ecopetrol SA,23.44706,,26.68692,,48112080000000.0,-0.36186,183743183440000.0,0.01331,26808467000000.0,48112080000000.0
CVE.TO,Cenovus Energy Inc,63.47263,,23.15271,,20911446800.0,0.85413,,89.18446,7978174800.0,20911446800.0
NIIS.BEL,NIS ad Novi Sad,61.57241,,36.41394,,165162240000.0,0.22641,,28.50641,82571630000.0,165162240000.0
RNFT.MM,NK Russneft' PAO,23.96567,,98.39124,,198995982000.0,1.65549,,182.41478,33347443000.0,198995982000.0
UNTC.PK,Unit Corp,86.88688,,35.59484,,2199819000.0,0.0833,2145145901.25,8.40525,1434817000.0,2199819000.0
XOM.N,Exxon Mobil Corp,51.90832,,41.3964,,219015000000.0,-0.16912,446943589540.35,7.09489,113844000000.0,219015000000.0
TTEF.PA,TotalEnergies SE,38.56191,,53.05491,,138851427138.729,0.31946,174872902372.626,47.5017,53207268312.6377,138851427138.729
BP.L,BP PLC,72.07642,,35.59552,,217601000000.0,0.25063,218825978845.393,28.09337,84624000000.0,217601000000.0
CVX.N,Chevron Corp,51.91815,,46.40355,,132628000000.0,-0.02326,160294116680.91,14.22828,68935000000.0,132628000000.0
TTLC.CI,Total Cote d'Ivoire SA,21.20804,,35.58813,,57846000000.0,-0.09253,33054840000.0,3.5614,29904000000.0,57846000000.0
OXY.N,Occidental Petroleum Corp,74.42879,,44.81561,,32431000000.0,0.06177,41070092509.51,14.23179,19252000000.0,32431000000.0
GAZP.MM,Gazprom PAO,57.15651,,,,5309925000000.0,0.20995,7170470322281.0,32.21346,3188458000000.0,5309925000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,47.63343,,10.50593,,2165332000000.0,-0.14724,2361523615200.0,16.67177,1079666000000.0,2165332000000.0
MGMC.OM,Muscat Gases Company SAOG,40.19351,,8.96552,,4961000.0,-0.35676,5313000.0,,4056000.0,4961000.0
IMO.TO,Imperial Oil Ltd,64.78533,,25.7561,,16141000000.0,-0.09735,41070012158.34,19.40319,7406000000.0,16141000000.0
SU.TO,Suncor Energy Inc,86.14532,,21.80669,,18759000000.0,0.20655,42198965318.42,26.47453,8952000000.0,18759000000.0
ENI.MI,Eni SpA,50.88889,,51.82679,,88312000000.0,0.16362,102056544160.48,28.39389,39029000000.0,88312000000.0
600028.SS,China Petroleum & Chemical Corp,66.23971,,29.71492,,602720000000.0,0.63213,758948852267.915,65.94452,259382000000.0,602720000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,10.18884,,0.0,,284625000.0,1.55875,938673384.15654,162.07981,16547000.0,284625000.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,54.19593,,29.29748,,210538129000.0,0.14529,230371510347.68,41.96437,97530648000.0,210538129000.0
OMVV.VI,OMV AG,87.76868,,23.48004,,17804018000.0,0.03693,12848171489.0428,24.23641,7266370000.0,19083180000.0
REP.MC,Repsol SA,51.93469,,39.87069,,45201000000.0,0.54074,31986622730.6,69.83705,18042000000.0,45201000000.0
LKOH.MM,NK Lukoil PAO,64.92112,,26.82596,,1269597840000.0,0.16121,1945238164185.0,18.50223,865928000000.0,1274546000000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,51.66818,,35.48255,,1161095480000.0,-0.19917,1878250912219.5,2.38687,667135740000.0,1161095480000.0
YPFD.BA,YPF SA,63.60683,,38.5919,,35394000000.0,0.01373,56814726659.4353,5.8237,24469000000.0,35394000000.0
SNGS.MM,Surgutneftegaz PAO,44.57957,,27.45343,,947698281000.0,-0.22306,1663456114914.65,0.14239,894097835000.0,947698281000.0
SIBN.MM,Gazprom Neft' PAO,39.58661,,24.57767,,371167745760.0,0.02389,568908543683.61,16.83657,261365469680.0,371167745760.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,,,788.75717,,4599409000.0,0.82927,861695661.75,87.55037,1183087000.0,4599409000.0
600256.SS,Guanghui Energy Co Ltd,26.66566,,2.44507,,4101833000.0,0.37615,4832621747.1,47.19609,2054036000.0,4101833000.0
EQNR.OL,Equinor ASA,59.31765,,69.7219,,73614266461.3015,0.27285,57430889632.8697,32.3316,26927384161.2117,73614266461.3015
ROSNP.BX,OMV Petrom SA,58.43638,,10.23802,,19459491000.0,-0.28001,32003921209.275,0.0,12324705000.0,19622043012.0
PTT.BK,PTT PCL,43.76163,,23.90311,,753191868815.0,0.37484,589034381250.0,62.26079,289570579554.0,753191868815.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,41.55926,,40.85006,,138884000.0,2.08092,94000000.0,219.71026,35342000.0,138884000.0
NVTK.MM,Novatek PAO,79.13811,,26.74929,,84326000000.0,-0.03728,505865582913.6,4.5256,68320000000.0,84326000000.0
PEA.TO,Pieridae Energy Ltd,13.17426,,,,12736957.0,-0.38143,13435795.92,0.40727,7782006.0,12736957.0
ENER.KW,Energy House Holding Company KSCP,34.34739,,2.86041,,6903000.0,-0.05954,8089620.0,13.75921,5291000.0,6903000.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,61.16059,,15.53012,,30676707000.0,-0.05223,21240000000.0,11.61738,21145689000.0,30676707000.0
SHEL.L,Shell PLC,42.92321,,41.04374,,235276000000.0,0.05891,227060825606.244,13.72221,105726000000.0,235276000000.0
ECHOE.L,Echo Energy PLC,,,,,,,31810679.5037597,,,
DANA.AD,Dana Gas PJSC,14.40888,,0.0,,1863257637.64091,-0.41664,2679227816.04814,,1855361324.40233,1863257637.64091
ROSN.MM,NK Rosneft' PAO,29.48403,,20.21068,,899906070000.0,1.14951,2189650080072.0,128.86729,325365490000.0,899906070000.0
GALP.LS,Galp Energia SGPS SA,40.43242,,21.10234,,5241809000.0,0.43104,3895916516.64,53.87352,2018137000.0,5241809000.0
GSP.MI,Gas Plus SpA,33.53584,,42.02541,,378255000.0,-0.02635,415541616.0,14.51307,214155000.0,378255000.0
INAI.ZA,INA dd,-28.06923,,20.0,,22188000000.0,0.25872,22920000000.0,30.79931,12779000000.0,22106000000.0
601857.SS,PetroChina Co Ltd,71.54614,,24.78687,,804629000000.0,0.03094,1980013595539.66,12.60777,542204000000.0,804629000000.0
ECO.CN,Ecopetrol SA,25.37556,,30.66296,,38431351000000.0,-0.16632,,0.44583,20835746000000.0,38431351000000.0
CVE.TO,Cenovus Energy Inc,,,22.95983,,,,,,,
NIIS.BEL,NIS ad Novi Sad,60.1492,,3.28613,,,0.18947,,23.82137,,
RNFT.MM,NK Russneft' PAO,20.97244,,31.13807,,200039076000.0,1.46838,,201.40005,39477997000.0,200039076000.0
UNTC.PK,Unit Corp,82.84864,,36.06284,,1874096000.0,0.15743,2242217065.5,15.79398,1158036000.0,1874096000.0
XOM.N,Exxon Mobil Corp,51.36439,,39.20783,,208335000000.0,-0.18028,349511965738.79,6.96608,111186000000.0,208335000000.0
TTEF.PA,TotalEnergies SE,38.21978,,49.7367,,125675179672.977,0.30335,154249956059.153,41.54955,48123941794.2434,125675179672.977
BP.L,BP PLC,73.39329,,29.67639,,206914000000.0,0.20061,220069011055.213,23.72562,79976000000.0,206914000000.0
CVX.N,Chevron Corp,50.6147,,44.04493,,125833000000.0,0.02745,127447724932.85,20.46886,62676000000.0,125833000000.0
TTLC.CI,Total Cote d'Ivoire SA,24.80903,,59.15388,,56814000000.0,-0.13546,25247601600.0,3.63742,29279000000.0,56814000000.0
OXY.N,Occidental Petroleum Corp,65.76911,,28.23187,,26108000000.0,0.03116,32111653280.32,18.98907,15032000000.0,26108000000.0
GAZP.MM,Gazprom PAO,64.32244,,29.81105,,4339094000000.0,0.26788,4620359512693.0,35.09564,2576417000000.0,4339094000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,54.84689,,10.52039,,2028835000000.0,0.30602,2174244186450.0,36.74156,983279000000.0,2028835000000.0
MGMC.OM,Muscat Gases Company SAOG,46.93391,,10.22099,,4615000.0,-0.3418,6900000.0,,3856000.0,4615000.0
IMO.TO,Imperial Oil Ltd,65.02375,,33.63961,,15582000000.0,-0.03347,38753238606.48,21.69456,6633000000.0,15582000000.0
SU.TO,Suncor Energy Inc,110.95122,,37.473,,15149000000.0,0.63392,33531618460.08,66.1441,5996000000.0,15149000000.0
ENI.MI,Eni SpA,53.68277,,46.77986,,83850000000.0,0.26256,93845558464.68,33.14379,36868000000.0,83850000000.0
600028.SS,China Petroleum & Chemical Corp,57.85463,,30.74558,,520572000000.0,0.6397,393064228195.476,69.98931,215623000000.0,520572000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,16.48703,,0.0,,406089000.0,5.24601,548128203.58512,540.23027,17365000.0,406089000.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,54.93884,,29.55012,,183521108000.0,0.24018,173583700075.48,52.89586,78785236000.0,183521108000.0
OMVV.VI,OMV AG,84.86398,,25.0457,,15451338000.0,-0.01633,1485246195.74871,23.66422,5916712000.0,15892552000.0
REP.MC,Repsol SA,50.9021,,41.97264,,45782000000.0,0.52847,30118701632.21,71.59619,16262000000.0,47486000000.0
LKOH.MM,NK Lukoil PAO,30.725,,27.31702,,1159470920500.0,0.11606,1451911476285.0,17.9348,770317475600.0,1159470920500.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,53.791,,35.41708,,978158000000.0,-0.04043,1867260562524.0,3.91,567681000000.0,978158000000.0
YPFD.BA,YPF SA,68.14176,,38.87369,,32224000000.0,0.04094,16.1,6.4446,22546000000.0,32224000000.0
SNGS.MM,Surgutneftegaz PAO,41.38429,,23.97489,,896678369000.0,-0.13721,1310098069717.9,0.46163,843728346000.0,896678369000.0
SIBN.MM,Gazprom Neft' PAO,45.65354,,23.90263,,305769423317.4,0.15744,509737124188.89,19.73068,220021799643.2,305769423317.4
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,52.41268,,,,5278057000.0,0.81848,684282549.1425,84.53843,1488613000.0,5278057000.0
600256.SS,Guanghui Energy Co Ltd,41.81664,,-11.38249,,4693801000.0,0.56843,3351657018.15,71.48318,1794252000.0,4693801000.0
EQNR.OL,Equinor ASA,62.51977,,65.59089,,42852969526.2104,0.18705,50327836879.9585,31.52789,15814339734.5592,42852969526.2104
ROSNP.BX,OMV Petrom SA,59.57369,,15.86059,,17813528000.0,-0.37492,26712241399.206,4.45841,10727090000.0,17918696751.0
PTT.BK,PTT PCL,60.08142,,22.37341,,649806657000.0,0.53514,632177533850.0,80.14742,230816801000.0,649806657000.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,31.03607,,29.20115,,108854000.0,1.03251,82344000.0,126.0783,36168000.0,108854000.0
NVTK.MM,Novatek PAO,83.05782,,27.09712,,78762000000.0,0.10666,207983924694.0,15.80219,57268000000.0,78762000000.0
PEA.TO,Pieridae Energy Ltd,16.79041,,,,9428000.0,-0.2221,16272729.93,0.58663,7330000.0,9428000.0
ENER.KW,Energy House Holding Company KSCP,66.96627,,3.07971,,11237000.0,-0.3927,8961000.0,2.27426,4441000.0,11237000.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,57.71513,,16.48967,,30363665000.0,-0.0372,17870500000.0,11.8372,20760337000.0,30363665000.0
SHEL.L,Shell PLC,39.59985,,40.38638,,219516000000.0,0.01211,208369272457.113,13.18982,90924000000.0,219516000000.0
DANA.AD,Dana Gas PJSC,,,,,2357874101.50294,,7302330646.91788,,1809518623.3936,
ROSN.MM,NK Rosneft' PAO,21.0263,,27.25829,,881095900000.0,0.85517,,103.7613,305505100000.0,881095900000.0
GALP.LS,Galp Energia SGPS SA,43.05114,,21.13697,,5934272000.0,0.49396,,56.42976,2361206000.0,5934272000.0
GSP.MI,Gas Plus SpA,36.08492,,31.11205,,325715000.0,0.69024,,83.05634,111569000.0,325715000.0
