Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
000791.SZ,GEPIC Energy Development Co Ltd,China,BB+,-0.446335084908371,31.57933,,4.12848,,785080000.0,-0.00719,629370000.0,19.41234,302607000.0,785079000.0,,,222781000.0,58762000.0,2008.0
PERENAC1.LM,Peruana de Energia SAA,Peru,A-,-5.24807628022477,0.58219,,,,32292000.0,-0.10355,34937511.3,0.0,31203000.0,32292000.0,,,0.0,132000.0,2008.0
CCE.AX,Carnegie Clean Energy Ltd,Australia,BB+,-121.557511561987,6.62078,,,,7265000.0,-1.0413,106252489.805,0.0,5569000.0,7265000.0,,4379000,324000.0,140000.0,2008.0
1185.HK,China Energine International Holdings Ltd,Hong Kong,B,-4.50705237532419,28.47442,,,,2165730000.0,0.43046,1050958743.72,59.69769,1198829000.0,2165730000.0,,,184206000.0,101658000.0,2008.0
IFEC.BK,Inter Far East Energy Corporation PCL,Thailand,CCC+,12.9342150826998,27.9098,,0.0,,814592000.0,0.42067,183506764.5,61.0173,465420000.0,814592000.0,,,570272000.0,145351000.0,2008.0
MEGA.KL,Mega First Corporation Bhd,Malaysia,A,14.8544488927627,29.90378,,12.06564,,696805000.0,-0.10353,193819230.0,15.1737,391747000.0,696805000.0,,,500889000.0,7727000.0,2008.0
0182.HK,Concord New Energy Group Ltd,Hong Kong,BBB+,3.29816593666626,1.80881,,0.0,,,-0.28275,1654324778.86487,1.71253,,,,,206857748.0,,2008.0
0451.HK,GCL New Energy Holdings Ltd,Hong Kong,CCC+,9.00610436994375,70.02251,,42.03237,,1025176579.19457,0.70653,60722261.1804901,82.93456,378663925.70227,1025176579.19457,,,1085173239.0,212526167.90179,2008.0
ARN.MI,Alerion Clean Power SpA,Italy,BB,-0.479897985174754,48.52187,,,,505908000.0,0.94138,177365408.025,141.03667,179303000.0,505908000.0,,,14677000.0,178951000.0,2008.0
NOVA.BK,Nova Empire PCL,Thailand,BB+,6.06281753244491,16.75079,,35.88486,,978115000.0,-0.57404,271500000.0,,857601000.0,978115000.0,,,1224084000.0,1067000.0,2008.0
DWLP.PSX,Dawood Lawrencepur Ltd,Pakistan,A,0.714512298252212,2.19212,,9.36172,,4920162000.0,-0.00297,6612145969.65,1.22396,4536243000.0,4920162000.0,,,368294000.0,55367000.0,2008.0
038870.KQ,EcoBio Holdings Co Ltd,Korea; Republic (S. Korea),A-,-9.68209893135033,2.01069,,,,186023204820.0,,41080916500.0,,-6322528645.0,186023204820.0,,,46343370660.0,4431481890.0,2008.0
NEVE.PK,Nevo Energy Inc,United States of America,,,,,,,,,,,,,,,,,2008.0
MDIP.WA,MDI Energia SA,Poland,BBB+,-9.54554511039867,81.056,,,,114564000.0,-0.06061,176265886.1,0.53076,75538000.0,114564000.0,,,1457000.0,59794000.0,2008.0
600868.SS,Guangdong Meiyan Jixiang Hydropower Co Ltd,China,AA-,-4.00859562568691,81.09662,,28.72511,,5693549000.0,1.20083,3758334384.42,121.16062,1968720000.0,5693552000.0,,,661619000.0,97428000.0,2008.0
600674.SS,Sichuan Chuantou Energy Co Ltd,China,A-,2.68837391629929,64.44282,,1.64098,,6124766000.0,1.76817,9331089758.46,187.65941,1823502000.0,6124766000.0,,,518624000.0,920695000.0,2008.0
ENLT.TA,Enlight Renewable Energy Ltd,Israel,BBB-,-3.19793958255084,0.01074,,0.0,,27942000.0,-1.00636,18765788.265,,27654000.0,27942000.0,,,0.0,,2008.0
PANP.BU,PannErgy Nyrt,Hungary,A,1.86510715578479,40.17886,,,,18536205000.0,0.44722,15159351600.0,54.5805,9547972000.0,18536205000.0,,,13063269000.0,2352249000.0,2008.0
MORG.BO,Morgan Ventures Ltd,India,BB,-17.0477040329105,26.37077,,-40.22726,,578032635.0,0.13734,92500000.0,30.43322,349645092.0,578032635.0,,,142997720.0,3611848.0,2008.0
NPI.TO,Northland Power Inc,Canada,BBB,6.48308942864732,56.75134,,-21.0451,,674407000.0,0.24102,723294800.0,34.91372,420952000.0,674407000.0,,,182488000.0,105000.0,2008.0
000040.SZ,Tunghsu Azure Renewable Energy Co Ltd,China,BB-,-8.02570307074963,4.36883,,,,2358090000.0,0.62217,1634184906.72,76.46405,824450000.0,2358089000.0,,,318848000.0,40535000.0,2008.0
000722.SZ,Hunan Development Group Co Ltd,China,AA-,0.057714710247331,47.89494,,,,2103479000.0,1.46527,766853904.96,182.82927,525988000.0,2103476000.0,,,604736000.0,60799000.0,2008.0
NWPN.PK,Now Corp,United States of America,B+,,,,,,,,,,,,,,,,2008.0
CHAR.SI,Charisma Energy Services Ltd,Singapore,B+,-7.21495535119052,30.59826,,,,331648605.18772,1.23026,19314249.2414179,140.73414,35152765.15416,331648605.18772,,,13654310.0,17666340.40985,2008.0
EMAE4.SA,EMAE Empresa Metropolitana de Aguas e Energia SA,Brazil,BBB+,26.6880795456653,52.75393,,36.36889,,1142258000.0,-0.02241,240156046.0,0.0,830126000.0,1142258000.0,,,250344000.0,8484000.0,2008.0
0686.HK,Beijing Energy International Holding Co Ltd,Hong Kong,BB-,,,,,,,,108435948.467317,,,,,,71349811.0,,2008.0
600163.SS,Zhongmin Energy Co Ltd,China,A-,-2.84874898302978,37.72004,,-59.81108,,3633437000.0,0.1893,1962262291.2,53.67169,2201883000.0,3633440000.0,,,1440445000.0,320820000.0,2008.0
ECVG.DE,Encavis AG,Germany,BB-,6.81531029357116,0.07707,,0.71086,,57094000.0,-0.62968,53676000.0,,56618000.0,57094000.0,,,0.0,23000.0,2008.0
AWSL.PK,Atlantic Power and Infrastructure Corp,Canada,,,,,,,,,,,,,,,,,2008.0
WBRE.PK,Wild Brush Energy Inc,United States of America,,,,,,,,,,,,,,,,,2008.0
BEP_u.TO,Brookfield Renewable Partners LP,Bermuda,CCC+,,,,,,,,,,,,,,,,2008.0
900957.SS,Shanghai Lingyun Industries Development Co Ltd,China,A-,-3.21808464713094,37.4112,,0.0,,702148000.0,0.21248,281196160.0,29.78018,436935000.0,702148000.0,,,134280000.0,749000.0,2008.0
GESI.PK,General European Strategic Investments Inc,United States of America,,,,,,,,,,,,,,,,,2008.0
CGEI.PK,CGE Energy Inc,United States of America,,,,,,,,,,,,,,,,,2008.0
AKSUE.IS,Aksu Enerji ve Ticaret AS,Turkey,BBB+,0.37377884751522,0.4532,,20.06319,,35746000.0,-0.15086,14783040.0,,32276000.0,35746000.0,,,859000.0,4000.0,2008.0
ORRON.ST,Orron Energy AB,Sweden,A,14.630632573374,90.30494,,67.03017,,3236748479.61078,0.30754,1677304565.69296,34.67329,1463541130.52942,3236748479.61078,,,969821209.0,702095751.95056,2008.0
0987.HK,China Renewable Energy Investment Ltd,Hong Kong,A,-12.5847910236352,0.23232,,,,328000000.0,-0.8958,267237164.25,0.0,308811000.0,328000000.0,,,13877000.0,17752000.0,2008.0
2743.T,Pixel Companyz Inc,Japan,BBB-,1.94604229355232,0.85809,,,,8326861000.0,1.16721,687254810.0,255.87583,1643113000.0,8326861000.0,,,21808714000.0,11001000.0,2008.0
MENC.PK,Millennium Energy Corp,United States of America,,,,,,,,,,,,,,,,,2008.0
RNE.AX,Renu Energy Ltd,Australia,BBB,-3.59011165454424,53.00006,,,,302411000.0,-0.4065,252549265.44,,282819000.0,302411000.0,,,6492000.0,138521000.0,2008.0
FNEC.PK,First National Energy Corp,Canada,B-,,,,,,,,,,,,,,,,2008.0
ADXR.MC,Audax Renovables SA,Spain,B,1.12733364975402,32.03904,,17.60736,,669917000.0,0.3212,309408349.38,38.28912,361963000.0,669917000.0,,,20281000.0,93553000.0,2008.0
600900.SS,China Yangtze Power Co Ltd,China,AA,9.69584604555182,69.60545,,24.22479,,58325250000.0,0.36333,137887051945.05,43.50528,37983567000.0,58325248000.0,,,9373933000.0,155084000.0,2008.0
002015.SZ,GCL Energy Technology Co Ltd,China,BB,-19.1708274869253,,,30.10706,,1301170000.0,1.31629,766474240.0,175.28175,332936000.0,1301173000.0,,,1104580000.0,90175000.0,2008.0
ORA.N,Ormat Technologies Inc,United States of America,BB,3.9007921029214,81.84418,,10.8151,,1630976000.0,0.4467,1445070892.9,48.72922,840204000.0,1630976000.0,,14423000,343950000.0,416606000.0,2008.0
PIF.TO,Polaris Renewable Energy Inc,Canada,BBB,-4.28723924639823,0.31019,,,,80937732.0,0.3626,17447003.6991369,37.69004,50826466.0,80937732.0,,,4758360.0,20118245.0,2008.0
PRIME.BK,Prime Road Power PCL,Thailand,BBB,-32.7183053403846,20.29686,,,,540936000.0,-0.18727,662134969.86,0.04808,484400000.0,540936000.0,,,45886000.0,142248000.0,2008.0
1711.T,SDS Holdings Co Ltd,Japan,B,,,,,,,,1436288000.0,,,,,243000,4129862000.0,2064000.0,2008.0
SUPER.BK,Super Energy Corporation PCL,Thailand,BBB,-15.2749982905204,28.50584,,,,868243000.0,0.81353,279000000.0,82.48616,431807000.0,868243000.0,,,206826000.0,3541000.0,2008.0
002039.SZ,Guizhou Qianyuan Power Co Ltd,China,BB+,6.97457723136894,95.46916,,3.742,,12212707000.0,7.14249,1639592640.0,742.4199,573564000.0,12212709000.0,,,722750000.0,872221000.0,2008.0
9514.T,EF On Inc,Japan,BB,-4.618637767763,78.81183,,,,23075066000.0,4.27798,1499818500.0,461.88899,3592972000.0,23075066000.0,,,11869399000.0,1429297000.0,2008.0
JAPR.NS,Jaiprakash Power Ventures Ltd,India,BBB,19.2024306874288,78.4279,,11.37167,,22698300000.0,0.70129,14312667490.0,81.0072,10751500000.0,22698300000.0,,,2974900000.0,2669000000.0,2008.0
WWPW.PK,Wind Works Power Corp,Canada,CC,,,,,,,,,,,,,,,,2008.0
PEPP.WA,Polenergia SA,Poland,BBB,8.49134834525759,,,10.19243,,564219000.0,1.83591,372203706.6,189.96328,180318000.0,564219000.0,,,96144000.0,5960000.0,2008.0
VLL.CM,Vidullanka PLC,Sri Lanka,A,16.6305722955034,87.50027,,0.13044,,667664037.0,0.30873,757535814.0,32.40941,491142574.0,667664037.0,,,230265970.0,17687794.0,2008.0
PSPW.PK,3Power Energy Group Inc,United States of America,CC,,,,,,,,,,,,,,,,2008.0
ANFI.BO,Anjani Finance Ltd,India,A,4.12164334240586,6.78737,,76.27859,,118087000.0,0.09406,110866269.0,9.88368,102988000.0,118087000.0,,,10009000.0,0.0,2008.0
JYCH.BO,Jayshree Chemicals Ltd,India,A-,,,,,,,,,,,,,,,,2008.0
3777.T,FHT Holdings Corp,Japan,BBB,-69.8380724482398,1.24821,,,,711817000.0,-0.46816,2726013600.0,,572294000.0,711817000.0,,,624349000.0,12905000.0,2008.0
SPCG.BK,SPCG PCL,Thailand,AA+,24.4437205463982,43.61195,,23.70611,,203458000.0,0.15972,75000000.0,29.05127,101462000.0,203458000.0,,,360121000.0,11484000.0,2008.0
VSH.HM,Vinh Son Song Hinh Hydropower JSC,Vietnam,A-,12.5784825593804,59.52107,,-0.1995,,2483250339000.0,-0.25422,3849839224000.0,15.3581,2142417738000.0,2483250339000.0,,,483680051000.0,15281096000.0,2008.0
VEER.BO,Veer Energy & Infrastructure Ltd,India,A-,25.1360355759048,17.42177,,30.4194,,148621104.0,0.60555,418320000.0,89.28102,60521013.0,148621104.0,,,206592950.0,10299693.0,2008.0
SOLR.V,Solar Alliance Energy Inc,Canada,A-,,12.24447,,,,1911393.0,,8952046.6,,-4496699.0,1912000.0,,,0.0,155000.0,2008.0
TBC.HM,Thacba Hydro Power JSC,Vietnam,AA+,21.3569020559461,63.41304,,8.90362,,851292397000.0,-0.30888,806450000000.0,1.19967,792602534000.0,851292397000.0,,,244627942000.0,9822726000.0,2008.0
NWF.NZ,NZ Windfarms Ltd,New Zealand,A+,-4.08723922406037,59.34564,,-74.81618,,94413000.0,-0.06077,62847357.6,6.84161,81092000.0,94413000.0,,,991000.0,32796000.0,2008.0
INWI.NS,Indowind Energy Ltd,India,BBB,3.6339697578476,40.26277,,7.18891,,3419144000.0,1.11745,1871466251.2,115.68513,1333562000.0,3419145000.0,,,609354000.0,644507000.0,2008.0
1407.T,West Holdings Corp,Japan,BBB+,129.487892094195,16.67008,,-178.88889,,11695292000.0,0.97979,8028832000.0,165.69942,2967596000.0,11695292000.0,,143000,20848661000.0,28244000.0,2008.0
VPEL.CM,Vallibel Power Erathna PLC,Sri Lanka,AAA,22.5345568227091,89.41409,,1.59114,,1268389861.0,-0.01405,2316040166.1,1.31241,1250707918.0,1268389861.0,,,365825760.0,2858368.0,2008.0
VLTSA.PA,Voltalia SA,France,BB,2.52215335757824,36.17337,,-98.79931,,78215000.0,0.72822,78909407.72,109.72189,32081000.0,78215000.0,,,7958000.0,19162000.0,2008.0
KEGN.NR,Kenya Electricity Generating Company Ltd,Kenya,A-,-6.28596903741538,85.35552,,54.54817,,108603879000.0,0.33705,31986159184.8,42.95007,63313228000.0,108603879000.0,,,12652388000.0,4971238000.0,2008.0
0527.HK,China Ruifeng Renewable Energy Holdings Ltd,Hong Kong,BB-,10.5275318483044,31.96801,,11.24128,,487919000.0,0.34175,116204080.052646,52.56405,268345000.0,487919000.0,,,387541000.0,23676000.0,2008.0
REO.CD,Reservoir Capital Corp,Canada,AA,-113.972515870202,29.43949,,,,2772979.0,-0.70512,9143400.0,,2654947.0,2772979.0,,1607840,0.0,262364.0,2008.0
SNFL.TA,Sunflower Sustainable Investments Ltd,Israel,BBB,1.12284145089289,33.58763,,37.35409,,602841000.0,0.61029,196078680.0,85.90991,259679000.0,602841000.0,,,35274000.0,216988000.0,2008.0
ESUN.S,Edisun Power Europe AG,Switzerland,BBB-,,66.15565,,,,62229000.0,0.41872,32142301.6,95.03079,30547000.0,62229000.0,,,,,2008.0
HNOI.PK,HNO International Inc,United States of America,B,,,,,,,,,,,,,,,,2008.0
HJS.HN,Nam Mu Hydropower JSC,Vietnam,AA+,7.18094379158587,95.13035,,5.64201,,397610097752.0,3.7184,65400000000.0,376.33345,78975686000.0,397610097752.0,,,37809333100.0,130798570000.0,2008.0
SJD.HM,Can Don Hydro Power JSC,Vietnam,AA+,14.1440931456191,93.80521,,0.0,,1140169618301.0,1.87669,427564694700.0,188.07638,371879610000.0,1140169618301.0,,,240447186560.0,40551000.0,2008.0
TMP.HM,Thac Mo Hydropower JSC,Vietnam,AA,12.1829044767667,66.09035,,28.0,,1593958673000.0,0.59441,,82.9021,782081810000.0,1593958671000.0,,,343001832000.0,1664359000.0,2008.0
SLGN.TA,Solegreen Ltd,Israel,BB-,-59.5426146410468,14.08773,,,,22296000.0,-0.94968,3511480.9,,18938000.0,22296000.0,,7767000,3119000.0,443000.0,2008.0
SLRS.MC,Solaria Energia y Medio Ambiente SA,Spain,BB+,-1.45798143232706,,,,,388947000.0,0.35461,193190133.97,39.79716,233881000.0,388947000.0,,,112000000.0,0.0,2008.0
NCEN.PK,Nacel Energy Corp,United States of America,CCC,,,,,,,,,,,,,,,,2008.0
INE.TO,Innergex Renewable Energy Inc,Canada,BB+,-1.98937563102545,53.16814,,,,431700812.0,0.85812,365316800.0,88.83214,197038802.0,431700812.0,,,5866540.0,99925632.0,2008.0
TENr.AT,Terna Energy SA,Greece,BBB,4.80579710780065,40.51251,,25.56853,,589766000.0,-0.3273,422026924.0,37.46052,413489000.0,589846000.0,,2148000,73741000.0,84092000.0,2008.0
002210.SZ,Shenzhen Feima International Supply Chain Co Ltd,China,BB+,13.9483326119561,1.19368,,19.5216,,1146541000.0,0.47836,1109760000.0,117.13534,429250000.0,1146540000.0,,,2348930000.0,33621000.0,2008.0
BLSP.PK,Blue Sphere Corp,United States of America,CCC+,,,,,,,,,,,,,,,,2008.0
FIGP.WA,Figene Capital SA,Poland,BBB-,,,,,,,,,,,,,,,,2008.0
EA.BK,Energy Absolute PCL,Thailand,A-,9.56375928812887,62.15963,,49.20671,,464385000.0,-0.02324,,8.7077,289844000.0,464385000.0,,,1970643000.0,96952000.0,2008.0
EDPR.LS,EDP Renovaveis SA,Spain,BBB,,75.8057,,30.38456,,9418908000.0,0.23021,4364157734.486,28.12673,5107359000.0,9418908000.0,9506000.0,,621130000.0,1919762000.0,2008.0
RNEW11.SA,Renova Energia SA Em Recuperacao Judicial,Brazil,B-,-1.64082756473559,90.32463,,,,240363000.0,26.77555,,2761.73526,8091000.0,240363000.0,,,15367000.0,40089000.0,2008.0
01C.WA,01Cyberaton Proenergy SA,Poland,A-,,,,,,,,,,,,,,,,2008.0
NHPC.NS,NHPC Ltd,India,A+,5.15954546106024,72.56576,,10.4397,,417866100000.0,0.57963,,70.2231,197677500000.0,417866100000.0,,1500000,35142200000.0,32607200000.0,2008.0
SEB.HN,Mien Trung Power Investment and Development JSC,Vietnam,A+,10.4040314741448,80.13419,,0.0,,399890671048.0,1.57758,,169.02214,145694318000.0,399890671048.0,,,91101510200.0,41946141000.0,2008.0
GUNKUL.BK,Gunkul Engineering PCL,Thailand,BBB+,27.1279099948983,19.76919,,30.9156,,1051363000.0,0.18772,,23.09638,481633000.0,1051363000.0,,,1366199000.0,100676000.0,2008.0
HPWR.CM,Resus Energy PLC,Sri Lanka,BBB-,20.3606771802156,63.1701,,-0.00433,,3724515937.0,0.80438,,97.86432,1700376096.0,3724515937.0,,,4870451200.0,196628113.0,2008.0
VPC.HNO,Viet Nam Power Investment and Development JSC,Vietnam,BB,,10.39085,,,,145253778924.0,0.21183,,34.41427,64125735590.0,145253778924.0,,,0.0,11123136122.0,2008.0
SOPV.PK,Solar Park Initiatives Inc,United States of America,,,,,,,,,,,,,,,,,2008.0
0916.HK,China Longyuan Power Group Corp Ltd,China,BB+,6.83053200121786,67.62237,,0.33799,,36049407000.0,2.9728,,312.19711,3875329000.0,36049407000.0,,,8554654000.0,11603412000.0,2008.0
ARISE.ST,Arise AB,Sweden,BB+,-4.48842139572653,41.60678,,,,824255000.0,-0.31832,,77.62583,373587000.0,824255000.0,,,0.0,339747000.0,2008.0
CHP.HM,Central Hydropower JSC,Vietnam,AA-,,57.1286,,,,592533624000.0,-0.17788,,3.61283,553582728000.0,592533624000.0,,,0.0,293253186000.0,2008.0
ORIN.NS,Orient Green Power Company Ltd,India,BB,,36.1037,,,,2763650000.0,0.1794,,25.5803,2123680000.0,2763650000.0,,,122360000.0,577320000.0,2008.0
SBA.HM,Song Ba JSC,Vietnam,AA,,72.89433,,18.0485,,747944420000.0,0.91268,,105.87708,353099219000.0,747944420000.0,,,25358842000.0,290026656000.0,2008.0
KNR.NLB,Kontrol Technologies Corp,Canada,BBB+,,87.63727,,,,12384000.0,-0.14742,8293765.65,0.21135,9463000.0,12384000.0,,0,0.0,2936000.0,2008.0
GEG.HM,Gia Lai Electricity JSC,Vietnam,B+,,,,,,,,,,,,,,,,2008.0
1798.HK,China Datang Corp Renewable Power Co Ltd,China,BB,5.32086348675208,88.01754,,9.04323,,15581024000.0,1.90787,,202.86933,2825977000.0,15581024000.0,,,860282000.0,5493435000.0,2008.0
SHP.HM,Southern Hydropower JSC,Vietnam,AAA,,,,,,,,,,,,,,,,2008.0
HYDP.CM,Lotus Hydro Power PLC,Sri Lanka,AA-,,83.70382,,88.52499,,275031400.0,0.32928,,42.12808,170647715.0,275031400.0,,,72355240.0,6602214.0,2008.0
MLEES.EUA,Galatia Energie SA,France,,,,,,,,,,,,,,,,,2008.0
ALTS.BU,Alteo Energiaszolgaltato Nyrt,Hungary,A+,,,,,,,,,,,,,,,,2008.0
PANA.CM,Panasian Power PLC,Sri Lanka,A,32.2040305857721,46.17176,,0.6767,,236370423.0,,,,181376139.0,236370423.0,,,97023490.0,,2008.0
ENRG.TA,Energix Renewable Energies Ltd,Israel,A-,,,,,,,,,,,,,,,,2008.0
ABOG.DE,clearvise AG,Germany,BB,,,,,,,,,,,,,,,,2008.0
1165.HK,Shunfeng International Clean Energy Ltd,China,CCC+,,43.15033,,-1.03492,,248209000.0,0.30737,,38.03757,152607000.0,248209000.0,,,563646000.0,36344000.0,2008.0
KRME.NS,Karma Energy Ltd,India,BB+,,,,,,,,,,,,,,,,2008.0
AEGA.OL,Aega ASA,Norway,B+,,,,,,,,,,,,,,,,2008.0
1281.HK,Xinda Investment Holdings Ltd,China,BB-,,,,44.1725,,380159000.0,2.10687,,215.03062,78399000.0,380159000.0,,,95655000.0,9979000.0,2008.0
PUNTILLA.SN,Electrica Puntilla SA,Chile,BBB+,,,,,,,,,,,,,,,,2008.0
601016.SS,CECEP Wind-Power Corp,China,BBB-,,,,,,,,,,,,,,,,2008.0
DRL.HM,Hydro Power JSC-Power No.3,Vietnam,AAA,,,,,,,,,,,,,,,,2008.0
FDE.MI,Frendy Energy SpA,Italy,AA-,,,,,,,,,,,,,,,,2008.0
WAAE.BO,Waaree Renewable Technologies Ltd,India,,0.203801795709831,0.0,,37.07378,,8532229.0,-0.00426,,,8515771.0,8532229.0,,,120000.0,0.0,2008.0
MEL.NZ,Meridian Energy Ltd,New Zealand,A+,,93.951,,30.23767,,7177268000.0,0.25228,,26.34597,4282718000.0,7177268000.0,,,1892435000.0,480152000.0,2008.0
AMTL.BO,Advance Metering Technology Ltd,India,BBB,,,,,,,,,,,,,,,,2008.0
CKP.BK,CK Power PCL,Thailand,A-,,,,,,,,,,,,,,,,2008.0
UKWG.L,Greencoat UK Wind PLC,United Kingdom,BB+,,,,,,,,,,,,,,,,2008.0
TSE.BK,Thai Solar Energy PCL,Thailand,BBB-,,,,,,,,,,,,,,,,2008.0
EAM.OL,EAM Solar ASA,Norway,B+,,,,,,,,,,,,,,,,2008.0
CWENa.N,Clearway Energy Inc,United States of America,BB,,,,,,,,,,,,,,,,2008.0
1250.HK,Shandong Hi-Speed New Energy Group Ltd,Hong Kong,B,,,,,,,,,,,,,,,,2008.0
TRIG.L,Renewables Infrastructure Group Ltd,Guernsey,BB,,,,,,,,,,,,,,,,2008.0
RNW.TO,TransAlta Renewables Inc,Canada,BBB+,,,,,,,,,,,,,,,,2008.0
AKI.MC,Akiles Corporation ED,Bulgaria,,,,,,,,,,,,,,,,,2008.0
8326.HK,Tonking New Energy Group Holdings Ltd,Hong Kong,BB,,,,,,,,,,,,,,,,2008.0
JPWR_u.V,Jade Power Trust,Canada,A+,,,,,,,,,,,,,,,,2008.0
AY.OQ,Atlantica Sustainable Infrastructure PLC,United Kingdom,BBB-,,,,,,,,,,,,,,,,2008.0
NEP.N,Nextera Energy Partners LP,United States of America,B+,,,,,,,,,,,,,,,,2008.0
PAMEL.IS,Pamel Yenilenebilir Elektrik Uretim AS,Turkey,AA-,,,,,,,,,,,,,,,,2008.0
IB.MI,Iniziative Bresciane Inbre SpA,Italy,BBB,,,,,,,,,,,,,,,,2008.0
TPCHm.BK,TPC Power Holding PCL,Thailand,BBB+,,,,,,,,,,,,,,,,2008.0
SCATC.OL,Scatec ASA,Norway,B,,,,,,,,,,,,,,,,2008.0
1381.HK,Canvest Environmental Protection Group Company Ltd,Hong Kong,A-,,,,,,,,,,,,,,,,2008.0
9517.T,eREX Co Ltd,Japan,BBB-,,,,,,,,,,,,,,,,2008.0
GNX.AX,Genex Power Ltd,Australia,BB-,,,,,,,,,,,,,,,,2008.0
GREG.MC,Grenergy Renovables SA,Spain,BB,,,,,,,,,,,,,,,,2008.0
TML.AX,Timah Resources Ltd,Australia,BB,,,,,,,,,,,,,391537,124580.0,,2008.0
BCPG.BK,BCPG PCL,Thailand,BBB+,,,,,,,,,,,,,,,,2008.0
KPEN.BO,KP ENERGY Ltd,India,BBB+,,,,,,,,,,,,,,,,2008.0
3868.HK,Xinyi Energy Holdings Ltd,China,BBB+,,,,,,,,,,,,,,,,2008.0
AESB3.SA,AES Brasil Energia SA,Brazil,BB-,18.9748877867128,39.66159,,33.32553,,18206077000.0,0.17928,5254844276.39,68.88914,3464059000.0,18206077000.0,,,8365649000.0,732708000.0,2008.0
AZRE.N,Azure Power Global Ltd,India,B,,,,,,,,,,,,,,,,2008.0
601619.SS,Ningxia Jiaze Renewables Corp Ltd,China,BB+,,,,,,,,,,,,,,,,2008.0
TPIPP.BK,TPI Polene Power PCL,Thailand,AAA,,,,,,,,,,,,,,,,2008.0
BIONB.L,Bion Plc,Malaysia,CCC,,,,,,,,,,,,,,,,2008.0
VPD.HM,Viet Nam Power Development JSC,Vietnam,AA,,,,,,,,,,,,,,,,2008.0
S4A.HM,Sesan 4A Hydroelectric JSC,Vietnam,AA,,,,,,,,,,,,,,,,2008.0
1257.HK,China Everbright Greentech Ltd,Hong Kong,BB-,,,,,,,,,,,,,,,,2008.0
600025.SS,Huaneng Lancang River Hydropower Inc,China,A-,,,,,,,,,,,,,,,,2008.0
ZHEN.SI,Zheneng Jinjiang Environment Holding Co Ltd,China,BB-,,,,,,,,,,,,,,,,2008.0
ROEN.CY,R Energy 1 SA,Greece,BB,,,,,,,,,,,,,,,,2008.0
VVPR.OQ,VivoPower International PLC,United States of America,CCC,,,,,,,,,,,,,,,,2008.0
9519.T,Renova Inc,Japan,B+,,,,,,,,,,,,,,,,2008.0
TGRA.JK,Terregra Asia Energy Tbk PT,Indonesia,BBB-,,,,,,,,,,,,,,,,2008.0
SSP.BK,Sermsang Power Corporation PCL,Thailand,A-,,,,,,,,,,,,,,,,2008.0
603693.SS,Jiangsu New Energy Development Co Ltd,China,BB+,,,,,,,,,,,,,,,,2008.0
RE.V,RE Royalties Ltd,Canada,BB+,,,,,,,,,,,,,,,,2008.0
NEW.AX,New Energy Solar Ltd,Australia,A+,,,,,,,,,,,,,,,,2008.0
NEOEN.PA,Neoen SA,France,BB,,,,,,,,,,,,,,,,2008.0
300614.SZ,Henan BCCY Environmental Energy Co Ltd,China,A,,,,,,,,,,,,,,,,2008.0
WAAS.BO,WAA Solar Ltd,India,BB+,,,,,,,,,,,,,,,,2008.0
ADNA.NS,Adani Green Energy Ltd,India,BBB-,,,,,,,,,,,,,,,,2008.0
RENER.MI,Renergetica SpA,Italy,BBB-,,,,,,,,,,,,,,,,2008.0
FINT.BEL,Fintel Energija ad Beograd,Republic of Serbia,BB,,,,,,,,,,,,,,,,2008.0
SPG.TO,Spark Power Group Inc,Canada,B+,,,,,,,,,,,,,,,,2008.0
KPIG.NS,KPI Green Energy Ltd,India,BBB-,,,,,,,,,,,,,,,,2008.0
3498.T,Kasumigaseki Capital Co Ltd,Japan,BB,,,,,,,,,,,,,,,,2008.0
6639.TWO,Grand Green Energy Co Ltd,Taiwan,BBB+,,,,,,,,,,,,,,,,2008.0
ACE.BK,Absolute Clean Energy PCL,Thailand,AA-,,,,,,,,,,,,,,,,2008.0
DDG.HN,Indochine Import Export Investment Industrial JSC,Vietnam,A+,,,,,,,,,,,,,,,,2008.0
NTH.HN,Nuoc Trong Hydro Power JSC,Vietnam,AA,,,,,,,,,,,,,,,,2008.0
NOVA.N,Sunnova Energy International Inc,United States of America,CCC+,,,,,,,,,,,,,,,,2008.0
KEEN.JK,Kencana Energi Lestari Tbk PT,Indonesia,A-,,,,,,,,,,,,,,,,2008.0
NATEN.IS,Naturel Yenilenebilir Enerji Ticaret AS,Turkey,A-,,,,,,,,,,,,,,,,2008.0
GPPR.KL,GPP Resources Bhd,Malaysia,B+,,,,,,,,,,,,,,,,2008.0
WIG.JS,Wigton Windfarm Ltd,Jamaica,,,,,,,,,,,,,,,,,2008.0
ANE.NM,Alpha Namibia Industries Renewable Energy Power Ltd,Namibia,,,,,,,,,,,,,,,,,2008.0
LAUG.CM,Laugfs Power Ltd,Sri Lanka,,,,,,,,,,,,,,,,,2008.0
