Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
INWI.NS,Indowind Energy Ltd,India,BBB,-0.149911308769151,82.49083,,15.85205,,2877983000.0,0.23577,1548040633.5,24.26764,2309969000.0,2877983000.0,,,245556000.0,,2021.0
1407.T,West Holdings Corp,Japan,BBB+,,,,,30.9,,,,,,,,,,,2021.0
VPEL.CM,Vallibel Power Erathna PLC,Sri Lanka,AAA,36.6330963745072,66.67454,,21.38068,,3049936926.0,-0.04042,5379190063.2,1.70973,2476341783.0,3049936926.0,,,1322265170.0,891557.0,2021.0
VLTSA.PA,Voltalia SA,France,BB,4.47368157495405,61.4873,97.37525,96.32259,31.0,2112960000.0,1.01857,1875077061.12,143.01716,671796000.0,2112960000.0,,,461324000.0,406302000.0,2021.0
KEGN.NR,Kenya Electricity Generating Company Ltd,Kenya,A-,,,,,,,,,,,,,,,,2021.0
0527.HK,China Ruifeng Renewable Energy Holdings Ltd,Hong Kong,BB-,-9.89398127760633,48.68299,,,,2237007000.0,5.18401,306398708.584007,605.33721,73129000.0,2237007000.0,,,352407000.0,29369000.0,2021.0
REO.CD,Reservoir Capital Corp,Canada,AA,,,,,,,,,,,,,,,,2021.0
SNFL.TA,Sunflower Sustainable Investments Ltd,Israel,BBB,1.67297318662762,72.30117,,,,952914000.0,2.664,292017424.818,290.20351,217954000.0,952914000.0,,,60625000.0,1153000.0,2021.0
ESUN.S,Edisun Power Europe AG,Switzerland,BBB-,2.65262188146572,88.41961,,18.31854,,405401000.0,3.11672,132411129.870107,348.9681,80095000.0,405401000.0,,,17160000.0,16307000.0,2021.0
HNOI.PK,HNO International Inc,United States of America,B,,,,,,,,,,,,,,,,2021.0
HJS.HN,Nam Mu Hydropower JSC,Vietnam,AA+,20.163913890533,79.59098,,20.36761,,346423696169.0,-0.12185,661496850000.0,0.0,308988730247.0,346423696169.0,,,165837230820.0,90909091.0,2021.0
SJD.HM,Can Don Hydro Power JSC,Vietnam,AA+,17.6038519555105,37.79657,,19.96903,,1383859793119.0,0.21495,1435171296000.0,24.59312,942159600614.0,1383859793119.0,,,425348701530.0,1080000411.0,2021.0
TMP.HM,Thac Mo Hydropower JSC,Vietnam,AA,21.6292330401502,47.05649,,16.33773,,1989782437870.0,-0.04785,3605000000000.0,32.59745,1357349697796.0,1989782437870.0,,,748324032680.0,160040639240.0,2021.0
SLGN.TA,Solegreen Ltd,Israel,BB-,-2.66773045493286,42.56655,,-95.57725,,1033565000.0,0.26553,760947250.84027,53.19434,648656000.0,1033565000.0,,,40485000.0,73370000.0,2021.0
SLRS.MC,Solaria Energia y Medio Ambiente SA,Spain,BB+,9.74524201908065,64.37801,14.609,14.609,20.26,1042752000.0,2.08061,2139158997.12,269.97716,247355000.0,1042752000.0,,,95070000.0,195259000.0,2021.0
NCEN.PK,Nacel Energy Corp,United States of America,CCC,,,,,,,,,,,,,,,,2021.0
INE.TO,Innergex Renewable Energy Inc,Canada,BB+,4.22947208787625,74.54491,,,,7396068000.0,3.61237,3586165355.4,373.45621,1093112000.0,7396068000.0,,,747208000.0,250621000.0,2021.0
TENr.AT,Terna Energy SA,Greece,BBB,7.18007082456662,56.66511,,25.9242,,1769918000.0,1.18851,1573312122.2,197.36988,497625000.0,1769918000.0,,4980000,405406000.0,181628000.0,2021.0
002210.SZ,Shenzhen Feima International Supply Chain Co Ltd,China,BB+,4.03822002806078,2.5254,,27.28427,,1117201885.99,2.357,8968354448.38,365.66092,162920482.17,1117201885.99,,5925540,265727930.0,43364900.58,2021.0
BLSP.PK,Blue Sphere Corp,United States of America,CCC+,,,,,,,,,,,,,,,,2021.0
FIGP.WA,Figene Capital SA,Poland,BBB-,-0.441754262865917,10.39559,,,,577104686.12,0.05611,846308527.6,5.82976,530483666.02,577104686.12,,,6545490.0,5375414.48,2021.0
EA.BK,Energy Absolute PCL,Thailand,A-,9.93776468878971,70.37543,0.05639,0.05639,0.7,85476250132.0,1.19792,358080000000.0,128.13008,32501021327.0,85476250132.0,,,20173810160.0,5990567265.0,2021.0
EDPR.LS,EDP Renovaveis SA,Spain,BBB,3.5526112939281,69.13299,9.95,9.95191,15.654,22031576000.0,0.36745,21036223747.8,46.31489,9078084000.0,22031576000.0,,,1757663000.0,2372090000.0,2021.0
RNEW11.SA,Renova Energia SA Em Recuperacao Judicial,Brazil,B-,-13.1561888086184,68.28153,,15.3392,,2280703000.0,,259102777.9,,-655320000.0,2280703000.0,,359000,93812000.0,229307000.0,2021.0
01C.WA,01Cyberaton Proenergy SA,Poland,A-,-0.27395669826357,1.54272,,,,132037032.59,0.0578,58890935.6806723,6.28387,120206362.8,132037032.59,,,31042990.0,453837.69,2021.0
NHPC.NS,NHPC Ltd,India,A+,5.82977809576377,57.37144,,-12.58018,21.0,772845000000.0,0.60625,279251967579.0,65.41178,370320100000.0,772845000000.0,,,91887800000.0,50144800000.0,2021.0
SEB.HN,Mien Trung Power Investment and Development JSC,Vietnam,A+,36.1030825322145,70.78739,,8.85015,,749966089849.0,0.12886,1759998295000.0,29.05371,423737666527.0,749966089849.0,,,305427281250.0,0.0,2021.0
GUNKUL.BK,Gunkul Engineering PCL,Thailand,BBB+,8.34092885617309,63.73847,7.7003,7.7003,7.4,42485354234.0,1.77387,49742173454.4,190.5477,13121608933.0,42485354234.0,,,9318161640.0,2960824345.0,2021.0
HPWR.CM,Resus Energy PLC,Sri Lanka,BBB-,17.1923096470814,80.08813,,-6.54547,,5353346226.0,1.82323,1541097772.5,193.75852,1708945407.0,5353346226.0,,,837908620.0,1024070215.0,2021.0
VPC.HNO,Viet Nam Power Investment and Development JSC,Vietnam,BB,35.0890117198773,59.91856,,,,61226669633.0,,36658865034.0435,,-10620047358.0,61226669633.0,,,38301340000.0,0.0,2021.0
SOPV.PK,Solar Park Initiatives Inc,United States of America,,,,,,,,,,,,,,,,,2021.0
0916.HK,China Longyuan Power Group Corp Ltd,China,BB+,9.60645146464222,72.75968,16.99,16.99903,18.04,205695438000.0,1.28469,119176047040.404,134.4363,62026403000.0,205695438000.0,,,37195458000.0,17676447000.0,2021.0
ARISE.ST,Arise AB,Sweden,BB+,6.45675567955361,80.93977,1.72414,1.72414,18.1,1511000000.0,0.74704,1764999808.0,85.05917,676000000.0,1511000000.0,,,278000000.0,124000000.0,2021.0
CHP.HM,Central Hydropower JSC,Vietnam,AA-,12.0084735249263,85.35035,,4.87941,,3272703458543.0,0.61817,3342263197000.0,66.62359,1894194143805.0,3272703458543.0,,,787447457860.0,8651381831.0,2021.0
ORIN.NS,Orient Green Power Company Ltd,India,BB,8.43129760317712,83.48935,,,,18320900000.0,2.5629,9158832519.4,258.01687,4894600000.0,18320900000.0,,,3106300000.0,16700000.0,2021.0
SBA.HM,Song Ba JSC,Vietnam,AA,14.2958490646923,88.07185,,5.47263,,1295680236205.0,0.38472,1172606870950.0,43.24905,855421917078.0,1295680236205.0,,,314881037810.0,9561180319.0,2021.0
KNR.NLB,Kontrol Technologies Corp,Canada,BBB+,6.31745307369606,2.54296,,42.52278,,60697996.0,0.18664,98639221.02,35.37331,19527710.0,60697996.0,,,57664300.0,1822122.0,2021.0
GEG.HM,Gia Lai Electricity JSC,Vietnam,B+,7.14780762823202,87.97168,,11.73855,,12472678495219.0,1.83188,7122098886993.46,190.03247,3377576029843.0,12472678495219.0,,,1381118770010.0,5860827447027.0,2021.0
1798.HK,China Datang Corp Renewable Power Co Ltd,China,BB,6.88832548118352,74.65174,15.29,15.2906,18.13333,99300850000.0,1.74815,21267262610.5341,184.82171,13126356000.0,99300850000.0,,,11625086000.0,8211895000.0,2021.0
SHP.HM,Southern Hydropower JSC,Vietnam,AAA,20.8379440575096,83.83235,,5.03024,,1832513519492.0,0.19813,2436465200000.0,31.2323,1336664787245.0,1832513519492.0,,,657816352380.0,956786324.0,2021.0
HYDP.CM,Lotus Hydro Power PLC,Sri Lanka,AA-,10.5638480222295,72.5668,,18.51931,,899408796.0,-0.06076,970884196.8,1.56897,792998498.0,899408796.0,,,223736210.0,2803300.0,2021.0
MLEES.EUA,Galatia Energie SA,France,,,,,,,,,,,,,,,,,2021.0
ALTS.BU,Alteo Energiaszolgaltato Nyrt,Hungary,A+,23.6495790515655,45.26704,,17.17721,,60760748000.0,0.60982,42194599181.3166,125.72116,18999287000.0,60760748000.0,,,44249448000.0,3534766000.0,2021.0
