Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,-2.6773045015304,63.14322,,,,144701351000.0,1.36849,,166.78162,32019877000.0,144701351000.0,,,118958583000.0,2009.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,2009.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2009.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,22.1645450750586,17.57205,,24.144,,310272336000.0,1.70791,,181.7979,67031585000.0,310272336000.0,,,162916176000.0,2009.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,8.60794385278834,90.36052,,,,2228399000.0,0.01926,2019598682.5,1.99922,1565810000.0,2228399000.0,,,709898000.0,2009.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,36.5514085167153,53.20979,,43.80253,,228052000000.0,-0.19215,397234080000.0,8.01971,112965000000.0,228052000000.0,5200000000.0,1451000000.0,459579000000.0,2008.0
TTEF.PA,TotalEnergies SE,TTE,France,A,29.4466787553885,39.00093,,56.36081,,165373701793.377,0.22833,128922381085.587,47.87387,68481010888.8609,165373701793.377,,1117897788.0,234599044827.0,2008.0
BP.L,BP PLC,BP.,United Kingdom,A-,19.649531973904,80.24737,,36.8025,,228238000000.0,0.27149,144094077038.54,36.04859,91303000000.0,228238000000.0,2483000000.0,882000000.0,361143000000.0,2008.0
CVX.N,Chevron Corp,CVX,United States of America,A+,30.8778110023348,56.94785,,44.18794,,161165000000.0,-0.00756,150291558448.85,10.21729,86648000000.0,161165000000.0,3500000000.0,1169000000.0,264958000000.0,2008.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,12.6006617613731,16.5087,,19.68162,,54232000000.0,-0.30883,56665440000.0,3.61913,29427000000.0,54232000000.0,,,132778000000.0,2008.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,37.3400755452662,77.68014,,40.76737,,41537000000.0,0.0355,48584534427.8,10.05306,27300000000.0,41537000000.0,388000000.0,308000000.0,23976000000.0,2008.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,21.1607638692129,56.08543,,,,7168568000000.0,0.2032,2556739393200.0,27.7959,4605115000000.0,7168568000000.0,10623200000.0,,3285486000000.0,2008.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,10.071485281706,48.59391,,10.59396,,2916413000000.0,0.55983,1031597437080.0,74.01738,1112981000000.0,2916413000000.0,18145800000.0,,3554752000000.0,2008.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,31.5833683326333,35.73412,,13.54167,,6123000.0,-0.25098,12558000.0,,4861000.0,6123000.0,,,6688000.0,2008.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,40.8218951546221,66.02876,,26.49735,,17035000000.0,-0.20199,35372361490.0,1.5775,9065000000.0,17035000000.0,620000000.0,132000000.0,31579000000.0,2008.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,15.8313966191923,88.7912,,31.84943,,32528000000.0,0.49756,22184746720.0,54.30008,14523000000.0,32528000000.0,,90000000.0,28446000000.0,2008.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,26.0165364881205,50.78724,,50.34805,,116673000000.0,0.32286,67049707584.24,42.95403,44436000000.0,116673000000.0,1324000000.0,,108082000000.0,2008.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,-5.34860932828757,69.96752,,-12.92168,,763297000000.0,0.70556,560134807318.494,72.77206,329300000000.0,763297000000.0,3196000000.0,8310000000.0,1444291000000.0,2008.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,-216.476879371673,12.90241,,,,118722000.0,,541338782.7078,,-22407000.0,118722000.0,,,25959000.0,2008.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,22.4515040978886,63.53386,,34.06292,,292275006000.0,0.34959,223990977891.2,46.33937,140787451000.0,292275006000.0,1966331000.0,5199830000.0,215118536000.0,2008.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,17.2816280861112,98.08713,,33.78529,,21375983000.0,0.35309,5652582458.70734,42.50665,7762248000.0,23241591000.0,322000000.0,347614000.0,25542598000.0,2008.0
REP.MC,Repsol SA,REP,Spain,BBB+,12.5690230878169,53.1836,,40.97314,,49064000000.0,0.437,18435038291.3,59.89958,19942000000.0,50538000000.0,392000000.0,,61784000000.0,2008.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,22.7980905640314,70.09138,,27.31212,,2181347025000.0,0.1385,820887103033.05,19.22956,1536628500000.0,2181347025000.0,700000000.0,12115868947.0,2678925602080.0,2008.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,22.5858022760581,49.48757,,35.3209,,1619838640000.0,-0.09148,1667678911641.0,7.54805,922235000000.0,1619838640000.0,,38883380000.0,1045883870000.0,2008.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,23.1443701710218,72.95539,,37.20219,,38418000000.0,0.17198,62930046896.0186,23.60723,18973000000.0,38418000000.0,,683000000.0,34875000000.0,2008.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,15.0999658246632,42.63541,,25.0785,,1208180023000.0,-0.34801,638085659638.315,0.02411,1147447016000.0,1208180023000.0,23000000000.0,,576571616000.0,2008.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,38.2410805142934,45.68671,,23.76238,,616757625000.0,0.10461,295951923466.38,26.19149,426159525000.0,616757625000.0,1110000000.0,4801566133.0,842637538470.0,2008.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,6.57579992072029,65.21336,,152.12125,,6489784000.0,0.40214,1262085696.09375,40.67746,3883888000.0,6489784000.0,,,1477202000.0,2008.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,18.4078776115062,13.84199,,17.26648,,6023912000.0,0.28034,7898478554.4,34.49571,3066150000.0,6023913000.0,,,2037716000.0,2008.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,67.8268286910994,56.94936,,76.02332,,83392078095.9786,0.21715,51830532171.438,34.8527,30823578535.1245,83392078095.9786,,2602956276.0,115470342516.0,2008.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,5.82597546651121,129.14342,,20.66516,,28917311000.0,-0.04631,10252583608.635,11.43991,15944879000.0,28917311000.0,,615484000.0,20127362000.0,2008.0
PTT.BK,PTT PCL,PTT,Thailand,A-,18.6919943607102,42.32006,,39.4489,,885192780000.0,0.36492,494209909375.0,57.86892,383578551000.0,885192780000.0,,8273389000.0,2000815834000.0,2008.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,7.82493679351109,27.40799,,21.28038,,139646000.0,1.7934,57152000.0,206.32955,35121000.0,139646000.0,,,746625000.0,2008.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,29.6590475050966,77.0469,,19.80482,,139907000000.0,0.15816,147139388760.0,27.1906,96069000000.0,139907000000.0,108532000.0,1117000000.0,79036000000.0,2008.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,-5.46253523357406,10.33916,,,,24024439.0,-0.01772,37231939.29,,21448923.0,24024439.0,,,255170.0,2008.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,,,,,,,,187500000.0,,,,,,47925000.0,2008.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,3.22360839670999,69.21108,,7.4435,,29745277000.0,-0.02489,18540000000.0,4.40632,20706895000.0,29745277000.0,43853891.0,,18432048000.0,2008.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,22.904437461288,39.67337,,47.9024,,282401000000.0,0.06271,160982066088.749,18.05674,127285000000.0,282401000000.0,,3225000000.0,458361000000.0,2008.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,0.28562,,1.12528,,38698923.1976,-0.40395,62418673.3580546,,35053127.00563,38698923.1976,,,33476.0,2008.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,3.50485131103242,27.74588,,53.48837,,2939991287.30124,-0.11439,947505989.980396,0.0,1965258113.70072,2939991287.30124,,5990600.0,310149700.0,2008.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,25.7897195783757,38.06082,,33.47306,,1519906820000.0,1.35058,1175337919905.3,156.55522,487708600000.0,1519906820000.0,299700000.0,,1271629760000.0,2008.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,6.42885247505846,41.6751,,21.26481,,6623000000.0,0.83858,5537008648.78,89.72061,2193844000.0,6623000000.0,,,15187892000.0,2008.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,11.6967193113835,33.86643,,57.46387,,440259000.0,0.07836,343109496.8,11.22502,215619000.0,440259000.0,,,380909000.0,2008.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,3.26599601973774,64.03262,,33.58491,,26613000000.0,0.5454,11499700000.0,59.35034,12027000000.0,26613000000.0,,,27782000000.0,2008.0
601857.SS,PetroChina Co Ltd,601857,China,A+,16.3354474512887,75.67425,,21.8168,,1190738000000.0,0.09023,1772865519415.03,14.96336,791691000000.0,1196962000000.0,637000000.0,,1072604000000.0,2008.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,30.1190201860497,33.12267,,27.36822,,48702412000000.0,-0.15998,81146922308265.0,0.82179,34619717000000.0,48702412000000.0,507821000000.0,,33896669000000.0,2008.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,16.1129334394725,66.39229,,23.44003,,22463889000.0,0.78033,,80.00774,9425442000.0,22463889000.0,,,17670605670.0,2008.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,4.41455805336013,62.17107,,,,161193607000.0,0.7603,,85.67709,69633845000.0,161193607000.0,,,169135793000.0,2008.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,2008.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2008.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,22.2877028693173,26.80836,,26.05151,,205766805000.0,1.23132,,128.85185,49292319000.0,205766805000.0,,,252645809000.0,2008.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,22.9786659477493,85.27367,,36.33051,,2581866000.0,0.12597,1262749070.56,12.63316,1633099000.0,2581866000.0,,,1358093000.0,2008.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,32.5763910861999,49.92895,,41.7801,,242082000000.0,-0.19782,511887083869.35,7.58941,121762000000.0,242082000000.0,3800000000.0,1469000000.0,390328000000.0,2007.0
TTEF.PA,TotalEnergies SE,TTE,France,A,32.6891093903574,36.52161,,50.07377,,165644467138.376,0.2577,198381674339.222,41.63895,65443139543.3657,165644467138.376,,1200620893.0,187313287416.0,2007.0
BP.L,BP PLC,BP.,United Kingdom,A-,18.1783761881672,95.88946,,33.03281,,236076000000.0,0.29036,230967471230.128,32.7991,93690000000.0,236076000000.0,1923000000.0,756000000.0,284641000000.0,2007.0
CVX.N,Chevron Corp,CVX,United States of America,A+,25.8166938099605,52.83427,,41.76427,,148786000000.0,-0.01115,197060874486.93,9.35673,77088000000.0,148786000000.0,3100000000.0,1323000000.0,214091000000.0,2007.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,8.09542200172306,17.40195,,20.76433,,59637000000.0,-0.20727,39476923200.0,3.4044,31283000000.0,59637000000.0,,,130934000000.0,2007.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,30.9120341668389,71.95706,,40.88366,,36519000000.0,-0.0077,63793632678.54,7.82221,22823000000.0,36519000000.0,368000000.0,364000000.0,20013000000.0,2007.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,13.8174420057301,51.3868,,,,6792556000000.0,0.25909,8117174103152.0,35.02096,3950789000000.0,6792556000000.0,12365480000.0,,2423245000000.0,2007.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,20.5288160179103,48.51508,,23.77678,,2432757000000.0,0.55082,2686487238885.0,69.18901,792164000000.0,2432757000000.0,25764910000.0,,2669014000000.0,2007.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,20.4339341063024,35.21564,,11.51936,,5472000.0,-0.36973,7969500.0,,4341000.0,5472000.0,,,4789000.0,2007.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,36.5057138985501,64.84313,,27.19799,,16287000000.0,-0.13404,49547277504.68,1.84274,7923000000.0,16287000000.0,474000000.0,106000000.0,25443000000.0,2007.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,17.6266006218053,85.4584,,15.94815,,24509000000.0,0.33726,49914117754.38,38.50874,11896000000.0,24509000000.0,,95000000.0,17314000000.0,2007.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,27.9039622919428,49.97043,,46.03056,,101460000000.0,0.34542,100334239843.8,46.25936,40428000000.0,101460000000.0,1081000000.0,,87204000000.0,2007.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,18.800069925995,64.471,,29.61982,,729863000000.0,0.55355,1823412747170.72,57.86311,308045000000.0,729863000000.0,2300000000.0,11105000000.0,1204843000000.0,2007.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,-64.3542818368691,9.105,,0.0,,185865000.0,1.46975,2706610041.04133,149.64726,26373000.0,185865000.0,,,162372000.0,2007.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,23.4178910123329,60.52072,,31.71915,,231227800000.0,0.20512,429922974863.2,31.88062,113854127000.0,231227800000.0,1635203000.0,4282062000.0,170577725000.0,2007.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,15.4879385935133,87.85327,,23.60317,,21249512000.0,0.20071,16769610200.4179,32.22047,8446506000.0,23779559000.0,215000000.0,236654000.0,20042036000.0,2007.0
REP.MC,Repsol SA,REP,Spain,BBB+,16.0540547979138,50.1993,,41.06798,,47164000000.0,0.47465,29764651227.94,62.25935,18620000000.0,48599000000.0,408000000.0,,54679000000.0,2007.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,29.1040836453262,63.81808,,26.50019,,1465128424000.0,0.14726,1758199304410.5,16.85331,1012582803500.0,1465128424000.0,600000000.0,7848270800.0,2093494280400.0,2007.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,26.0330035640487,49.09787,,34.60406,,1307376510000.0,-0.21749,2098982557315.5,1.79235,780866130000.0,1307376510000.0,,29921940000.0,967821750000.0,2007.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,22.5673186999154,66.7524,,40.29807,,38102000000.0,0.00549,51130663103.0,3.81427,26060000000.0,38102000000.0,,378000000.0,29104000000.0,2007.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,11.1969439013038,43.04258,,29.48329,,1045175310000.0,-0.15644,1173718642346.46,0.02026,972650646000.0,1045175310000.0,,,617278159000.0,2007.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,40.5219974964816,41.32699,,24.09307,,408074825500.0,0.25882,725418844767.0,32.79034,256333593500.0,408074825500.0,,4703849600.0,582050259200.0,2007.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,-8.85451805374323,50.62406,,,,4137078000.0,0.33976,,36.38719,1634009000.0,4137078000.0,,,1322447000.0,2007.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,20.5942380100795,27.94666,,18.97327,,4541111000.0,0.28362,16957479177.1,50.83964,2360603000.0,4541110000.0,,,1909471000.0,2007.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,49.9510792653679,57.61955,,69.59288,,88889175115.4617,0.16149,99624958016.4907,28.22407,32619095810.2563,88889175115.4618,,1935789730.0,89105598650.0,2007.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,10.8553378982119,62.75695,,17.28603,,21161034000.0,-0.05709,28152121842.495,,13184118000.0,21362645537.0,,,12342017000.0,2007.0
PTT.BK,PTT PCL,PTT,Thailand,A-,19.021612358216,35.34881,,27.1047,,891524050000.0,0.36675,1059182835000.0,57.04081,361496757000.0,891524050000.0,,3542833000.0,1508129424000.0,2007.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,5.61588425840452,24.8348,,,,148814000.0,2.15694,97384000.0,231.43859,33936000.0,148814000.0,,,608340000.0,2007.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,29.8232901687626,78.86511,,26.52517,,103975000000.0,0.03202,561109348800.0,8.06972,81335000000.0,103975000000.0,471850740.0,486000000.0,62480000000.0,2007.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,-5.80974760926351,8.51309,,,,26831052.0,0.0,30685664.25,,22194109.0,26831615.0,,,53000.0,2007.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,13.6089577950043,28.35408,,3.35508,,8676000.0,0.01535,19524477.9984755,29.17286,6057000.0,8676000.0,,,4734000.0,2007.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,3.33602753772455,65.89527,,8.64272,,28401901000.0,-0.06983,26265000000.0,0.65694,21013076000.0,28401901000.0,57700000.0,,16652134000.0,2007.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,23.1135384006666,37.67432,,36.8752,,269470000000.0,0.06702,264763749084.598,14.36793,123960000000.0,269470000000.0,2200000000.0,2989000000.0,355782000000.0,2007.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,3898.0,2007.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,2.784078361258,22.13417,,60.49822,,2955337690.63181,-0.27888,3643790849.6732,0.01407,1935457516.33987,2955337690.63181,,10076617.0,282145276.0,2007.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,50.3293161750592,34.19791,,32.36181,,1409088600000.0,1.62637,2479515089612.93,176.84711,362890230000.0,1409088600000.0,87500000.0,,1066718150000.0,2007.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,29.2810555756034,37.14455,,25.57652,,5674415000.0,0.30679,11391101727.84,35.46144,2347972000.0,5674415000.0,,,12661184000.0,2007.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,7.9889513126785,33.17689,,38.825,,402714000.0,-0.00045,318548976.0,9.86854,218746000.0,402714000.0,,,244391000.0,2007.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,11.1482132396016,-17.18173,,22.16809,,24916000000.0,0.30807,27860000000.0,36.08444,13634000000.0,24806000000.0,,,24623000000.0,2007.0
601857.SS,PetroChina Co Ltd,601857,China,A+,26.87093909844,72.84908,,24.42478,,1053548000000.0,-0.03329,5287788366890.32,9.08176,740390000000.0,1069135000000.0,566000000.0,,836353000000.0,2007.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,22.9722442050632,23.44706,,26.68692,,48112080000000.0,-0.36186,183743183440000.0,0.01331,26808467000000.0,48112080000000.0,,,22332320000000.0,2007.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,,63.47263,,23.15271,,20911446800.0,0.85413,,89.18446,7978174800.0,20911446800.0,,,14386849990.0,2007.0
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,2.47463021977955,61.57241,,36.41394,,165162240000.0,0.22641,,28.50641,82571630000.0,165162240000.0,,,160133191000.0,2007.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,2007.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2007.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,17.142008024491,23.96567,,98.39124,,198995982000.0,1.65549,,182.41478,33347443000.0,198995982000.0,,,178977529000.0,2007.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,22.3487442929971,86.88688,,35.59484,,2199819000.0,0.0833,2145145901.25,8.40525,1434817000.0,2199819000.0,,,1158754000.0,2007.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,34.27726908791,51.90832,,41.3964,,219015000000.0,-0.16912,446943589540.35,7.09489,113844000000.0,219015000000.0,3200000000.0,1181000000.0,365467000000.0,2006.0
TTEF.PA,TotalEnergies SE,TTE,France,A,32.5386678595208,38.56191,,53.05491,,138851427138.729,0.31946,174872902372.626,47.5017,53207268312.6377,138851427138.729,,795926136.0,166578301356.0,2006.0
BP.L,BP PLC,BP.,United Kingdom,A-,19.4586301527735,72.07642,,35.59552,,217601000000.0,0.25063,218825978845.393,28.09337,84624000000.0,217601000000.0,1757000000.0,1045000000.0,266138000000.0,2006.0
CVX.N,Chevron Corp,CVX,United States of America,A+,27.5476611994674,51.91815,,46.40355,,132628000000.0,-0.02326,160294116680.91,14.22828,68935000000.0,132628000000.0,2750000000.0,1364000000.0,204892000000.0,2006.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,13.0222066421789,21.20804,,35.58813,,57846000000.0,-0.09253,33054840000.0,3.5614,29904000000.0,57846000000.0,,,127064000000.0,2006.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,31.2663369123738,74.42879,,44.81561,,32431000000.0,0.06177,41070092509.51,14.23179,19252000000.0,32431000000.0,248000000.0,296000000.0,17674000000.0,2006.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,19.0787269681742,57.15651,,,,5309925000000.0,0.20995,7170470322281.0,32.21346,3188458000000.0,5309925000000.0,12745600000.0,13123000000.0,2152111000000.0,2006.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,25.8910862767546,47.63343,,10.50593,,2165332000000.0,-0.14724,2361523615200.0,16.67177,1079666000000.0,2165332000000.0,,,2992149000000.0,2006.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,17.5736274390983,40.19351,,8.96552,,4961000.0,-0.35676,5313000.0,,4056000.0,4961000.0,,,4132000.0,2006.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,36.222326895902,64.78533,,25.7561,,16141000000.0,-0.09735,41070012158.34,19.40319,7406000000.0,16141000000.0,524000000.0,32000000.0,24788000000.0,2006.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,25.7253060539997,86.14532,,21.80669,,18759000000.0,0.20655,42198965318.42,26.47453,8952000000.0,18759000000.0,,104000000.0,16546000000.0,2006.0
ENI.MI,Eni SpA,ENI,Italy,BBB+,31.4952751528627,50.88889,,51.82679,,88312000000.0,0.16362,102056544160.48,28.39389,39029000000.0,88312000000.0,1063000000.0,,86105000000.0,2006.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,19.9942374287084,66.23971,,29.71492,,602720000000.0,0.63213,758948852267.915,65.94452,259382000000.0,602720000000.0,,7983000000.0,1061669000000.0,2006.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,600617,China,BB-,26.9393845197389,10.18884,,0.0,,284625000.0,1.55875,938673384.15654,162.07981,16547000.0,284627000.0,,,280455000.0,2006.0
PETR4.SA,Petroleo Brasileiro SA Petrobras,PETR4,Brazil,A,27.933020995617,54.19593,,29.29748,,210538129000.0,0.14529,230371510347.68,41.96437,97530648000.0,210538129000.0,1976426000.0,3623327000.0,158238819000.0,2006.0
OMVV.VI,OMV AG,OMV,Austria,BBB-,16.126034923799,87.76868,,23.48004,,17804018000.0,0.03693,12848171489.0428,24.23641,7266370000.0,19083180000.0,150000000.0,184148000.0,18970368000.0,2006.0
REP.MC,Repsol SA,REP,Spain,BBB+,16.5111731843575,51.93469,,39.87069,,45201000000.0,0.54074,31986622730.6,69.83705,18042000000.0,45201000000.0,321000000.0,,55080000000.0,2006.0
LKOH.MM,NK Lukoil PAO,LKOH,Russia,A,26.608311555241,64.92112,,26.82596,,1269597840000.0,0.16121,1945238164185.0,18.50223,865928000000.0,1274546000000.0,380000000.0,5678951762.0,1839110866312.0,2006.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,ONGC,India,A-,24.8668791746124,51.66818,,35.48255,,1161095480000.0,-0.19917,1878250912219.5,2.38687,667135740000.0,1161095480000.0,,24193020000.0,822615480000.0,2006.0
YPFD.BA,YPF SA,YPFD3,Argentina,BB+,20.1840457782482,63.60683,,38.5919,,35394000000.0,0.01373,56814726659.4353,5.8237,24469000000.0,35394000000.0,,460000000.0,25635000000.0,2006.0
SNGS.MM,Surgutneftegaz PAO,SNGS,Russia,A-,11.3300822169529,44.57957,,27.45343,,947698281000.0,-0.22306,1663456114914.65,0.14239,894097835000.0,947698281000.0,,,526632739000.0,2006.0
SIBN.MM,Gazprom Neft' PAO,SIBN,Russia,BBB+,42.1742468182089,39.58661,,24.57767,,371167745760.0,0.02389,568908543683.61,16.83657,261365469680.0,371167745760.0,,2907405926.0,548222635168.0,2006.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,YAKG,Russia,BBB,4.55455881746871,,,788.75717,,4599409000.0,0.82927,861695661.75,87.55037,1183087000.0,4599409000.0,,,1319217000.0,2006.0
600256.SS,Guanghui Energy Co Ltd,600256,China,BBB+,9.80610114642661,26.66566,,2.44507,,4101833000.0,0.37615,4832621747.1,47.19609,2054036000.0,4101833000.0,,,1883222000.0,2006.0
EQNR.OL,Equinor ASA,EQNR,Norway,A,71.9044359713136,59.31765,,69.7219,,73614266461.3015,0.27285,57430889632.8697,32.3316,26927384161.2117,73614266461.3015,,1662358500.0,81004466400.0,2006.0
ROSNP.BX,OMV Petrom SA,SNP,Romania,A,19.9766477771789,58.43638,,10.23802,,19459491000.0,-0.28001,32003921209.275,0.0,12324705000.0,19622043012.0,,,13464328000.0,2006.0
PTT.BK,PTT PCL,PTT,Thailand,A-,24.6295676857917,43.76163,,23.90311,,753191868815.0,0.37484,589034381250.0,62.26079,289570579554.0,753191868815.0,,3631646310.0,1213985278960.0,2006.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,ELIN,Greece,BBB-,5.68687906817403,41.55926,,40.85006,,138884000.0,2.08092,94000000.0,219.71026,35342000.0,138884000.0,,,537354000.0,2006.0
NVTK.MM,Novatek PAO,NVTK,Russia,A,26.0955014299462,79.13811,,26.74929,,84326000000.0,-0.03728,505865582913.6,4.5256,68320000000.0,84326000000.0,,459000000.0,49234000000.0,2006.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,-5.73054129334265,13.17426,,,,12736957.0,-0.38143,13435795.92,0.40727,7782006.0,12736957.0,,,56000.0,2006.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,13.3957297455396,34.34739,,2.86041,,6903000.0,-0.05954,8089620.0,13.75921,5291000.0,6903000.0,,,4305000.0,2006.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,5.31929036662394,61.16059,,15.53012,,30676707000.0,-0.05223,21240000000.0,11.61738,21145689000.0,30676707000.0,,,15197653000.0,2006.0
