Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
NIIS.BEL,NIS ad Novi Sad,NIIS,Republic of Serbia,AA-,,,,,,,,,,,,,,,2000.0
IOG.L,Iog PLC,IOG,United Kingdom,B+,,,,,,,,,,,,,,,2000.0
2222.SE,Saudi Arabian Oil Co,2222,Saudi Arabia,AA-,,,,,,,,,,,,,,,2000.0
RNFT.MM,NK Russneft' PAO,RNFT,Russia,BB-,,,,,,,,,,,,,,,2000.0
UNTC.PK,Unit Corp,UNTC,United States of America,BB,20.7018860553222,83.84842,,37.86366,,346288000.0,0.2559,677075164.5,25.9285,214540000.0,346288000.0,,,201264000.0,2000.0
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,9.10088860709182,65.0722,,29.0583,,144521000000.0,0.25629,195588455648.125,28.25148,63466000000.0,144521000000.0,,1246000000.0,182529000000.0,1999.0
TTEF.PA,TotalEnergies SE,TTE,France,A,8.14861729240705,45.16744,,37.30088,,79808670258.2952,0.47248,96316271571.2759,62.63825,28463823573.8382,79808670258.2952,,,44900885146.0,1999.0
BP.L,BP PLC,BP.,United Kingdom,A-,,58.76553,,26.75776,,89561000000.0,0.29996,195829327898.065,32.99806,43281000000.0,89561000000.0,,548000000.0,101180000000.0,1999.0
CVX.N,Chevron Corp,CVX,United States of America,A+,11.3564024758034,58.69759,,44.13283,,69640000000.0,0.47283,56849008639.5,55.6074,29791000000.0,69640000000.0,,1072000000.0,84004000000.0,1999.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,,,,,,,,,,,,,,,1999.0
